Id,Label,HouseId
AEGON,Aegon,WESTEROS
AERYS,Aerys,WESTEROS
ANGUY,Anguy,WESTEROS
ARYA,Arya,STARK
LITTLE_SAM,Little Sam,WESTEROS
BALERION,Balerion,WESTEROS
BALON,Balon,GREYJOY
BARRISTAN,Barristan,TARGARYEN
BERIC,Beric,WESTEROS
BERT,Bert,WESTEROS
BLACK_WALDER,Black Walder,WESTEROS
BOROS,Boros,WESTEROS
BRAN,Bran,STARK
BRANDON_STARK,Brandon,WESTEROS
BRIENNE,Brienne,STARK
BRONN,Bronn,WESTEROS
BRYNDEN,Brynden,TULLY
CATELYN,Catelyn,STARK
CERSEI,Cersei,LANNISTER
CRASTER,Craster,WALL
DAARIO,Daario,TARGARYEN
DAENERYS,Daenerys,TARGARYEN
DAREON,Dareon,WESTEROS
DAVOS,Davos,BARATHEON
DESMOND,Desmond,WESTEROS
DROGO,Drogo,ESSOS
EDDISON_TOLLETT,Eddison,WALL
EDMURE,Edmure,TULLY
ELDRICK,Eldrick,WESTEROS
FARMER,Farmer,WESTEROS
FREY_SEPTON,Frey Septon,WESTEROS
GENDRY,Gendry,WESTEROS
GILLY,Gilly,WALL
GREIZHEN,Greizhen,WESTEROS
GRENN,Grenn,WALL
GREY_WORM,Grey Worm,TARGARYEN
HIGH_SEPTON,High Septon,WESTEROS
HOBB,Hobb,WESTEROS
HODOR,Hodor,STARK
HOSTER,Hoster,WESTEROS
HOT_PIE,Hot Pie,WESTEROS
HOUND,Sandor,WESTEROS
ILYN_PAYNE,Ilyn,WESTEROS
JAIME,Jaime,LANNISTER
JEOR,Jeor,WALL
JOANNA,Joanna,WESTEROS
JOFFREY,Joffrey,BARATHEON
JOJEN,Jojen,STARK
JON,Jon,STARK
JORAH,Jorah,TARGARYEN
JOYEUSE,Joyeuse,WESTEROS
KARL_TANNER,Karl,WALL
KRAZNYS_MO_NAKLOZ,Kraznys,ESSOS
LITTLEFINGER,Petyr,WESTEROS
LOCKE,Locke,BOLTON
LORAS,Loras,TYRELL
LORD_OF_BONES,Lord of Bones,WALL
LOTHAR,Lothar,FREY
LYSA,Lysa,ARRYN
MACE,Mace,TYRELL
MAESTER_AEMON,Aemon,WALL
MAESTER_LUWIN,Luwin,STARK
MANCE,Mance,WALL
MAREI,Marei,WESTEROS
MARGAERY,Margaery,TYRELL
MARTYN,Martyn,LANNISTER
MATTHOS,Matthos,BARATHEON
MEERA,Meera,STARK
MELISANDRE,Melisandre,BARATHEON
MERO,Mero,WESTEROS
MERRY,Merry,WESTEROS
MERYN_TRANT,Meryn,WESTEROS
MISSANDEI,Missandei,TARGARYEN
MOUNTAIN,Gregor,LANNISTER
MYCAH,Mycah,WESTEROS
MYRANDA,Myranda,WESTEROS
NED,Ned,STARK
OLENNA,Olenna,TYRELL
OLYVAR,Olyvar,WESTEROS
ORELL,Orell,WALL
OSHA,Osha,STARK
PODRICK,Podrick,LANNISTER
PRENDAHL,Prendahl,ESSOS
PYCELLE,Pycelle,WESTEROS
PYP,Pyp,WALL
QHORIN_HALFHAND,Qhorin,WESTEROS
QYBURN,Qyburn,WESTEROS
RADZAI_MO_ERAZ,Radzai,WESTEROS
RAMSAY,Ramsay,BOLTON
RANDYLL,Randyll,WESTEROS
RAST,Rast,WALL
LORD_OF_BONES,Lord of Bones,WALL
RENLY,Renly,BARATHEON
RICKARD_KARSTARK,Rickard Karstark,STARK
RICKON,Rickon,STARK
ROBB,Robb,STARK
ROBERT,Robert,BARATHEON
ROOSE_BOLTON,Roose,BOLTON
ROS,Ros,WESTEROS
ROSLIN,Roslin,TULLY
RYLENE,Rylene,WESTEROS
SALLADHOR,Salladhor,BARATHEON
SAM,Sam,WALL
SANSA,Sansa,STARK
SELWYN,Selwyn,WESTEROS
SELYSE,Selyse,BARATHEON
SHAE,Shae,WESTEROS
SHIREEN,Shireen,BARATHEON
SORCERER,Sorcerer,WESTEROS
STANNIS,Stannis,BARATHEON
STEELSHANKS_WALTON,Steelshanks Walton,WESTEROS
TALISA,Talisa,STARK
TARYN_MANT,Taryn,WESTEROS
THEON,Theon,GREYJOY
THOROS,Thoros,WESTEROS
TORMUND,Tormund,WALL
TORTURER,Torturer,WESTEROS
TYRION,Tyrion,LANNISTER
TYWIN,Tywin,LANNISTER
VARYS,Varys,WESTEROS
VIOLET,Violet,WESTEROS
WALDER,Walder,FREY
WILLEM_LANNISTER,Willem,LANNISTER
YARA,Yara,GREYJOY
YGRITTE,Ygritte,WALL
