Name,number of time being infected
SHAGGA,2
BERIC,2
NED,1
DAENERYS,1
JON,1
LITTLEFINGER,1
DROGO,1
ARYA,1
BRONN,1
TYRION,1
PYCELLE,1
THEON,1
BRAN,1
DOREAH,1
IRRI,1
RODRIK,1
ILLYRIO,1
MARILLION,1
JANOS,1
JON_ARRYN,1
TOBHO_MOTT,1
BAELOR,1
HUGH_OF_THE_VALE,1
MOUNTAIN,1
TOMARD,1
RICKARD_STARK,1
WILL,1
LYANNA,1
HIGH_SEPTON,1
ROOSE_BOLTON,1
STEFFON,1
ROBERT,0
JORAH,0
SAM,0
VARYS,0
CATELYN,0
ROBB,0
CERSEI,0
SHAE,0
JOFFREY,0
SANSA,0
VISERYS,0
SEPTA_MORDANE,0
TYWIN,0
JEOR,0
MAESTER_LUWIN,0
JAIME,0
LORAS,0
RENLY,0
MIRRI_MAZ_DUUR,0
SYRIO_FOREL,0
JORY_CASSEL,0
PYP,0
ROS,0
GRENN,0
WALDER,0
BENJEN,0
GREATJON_UMBER,0
MORD,0
LYSA,0
RAKHARO,0
ROBIN,0
OSHA,0
QOTHO,0
MAESTER_AEMON,0
BARRISTAN,0
YOREN,0
ALLISER_THORNE,0
WINE_MERCHANT,0
HOUND,0
LANCEL,0
RICKON,0
KEVAN,0
VARDIS_EGEN,0
RHAEGO,0
GENDRY,0
HOT_PIE,0
LOMMY_GREENHANDS,0
MERYN_TRANT,0
HODOR,0
STANNIS,0
MAGO,0
MYCAH,0
RAST,0
OLD_NAN,0
MHAEGEN,0
AERYS,0
DAREON,0
STABLE_BOY,0
OTHELL_YARWYCK,0
OTHOR,0
GARED,0
ROYCE,0
JONOS_BRACKEN,0
MASHA_HEDDLE,0
ILYN_PAYNE,0
RYGER_RIVERS,0
STEVRON_FREY,0
WAYMAR_ROYCE,0
ADDAM_MARBRAND,0
LEO_LEFFORD,0
RHAEGAR,0
ASSASSIN,0
BALON,0
BRANDON_STARK,0
HOSTER,0
COHOLLO,0
JHIQUI,0
MYRCELLA,0
AEGON,0
BORCAS,0
BOWEN_MARSH,0
LUKE,0
IROGENIA,0
GALBART_GLOVER,0
RICKARD_KARSTARK,0
TYSHA,0
JAREMY_RYKKER,0
JOANNA,0
TOMMEN,0
LITTLE_BIRD,0
JOYEUSE,0
MACE,0
MELESSA,0
VARLY,0
RANDYLL,0
