#  i    Total    Potential    Kinetic    Temperature   Pressure
   0  -2.00514   -4.25514       2.25        1.5   0.0614852
   1  -2.00498   -4.25498       2.25        1.5   0.0629596
   2  -2.00422   -4.25422       2.25        1.5   0.0657787
   3  -2.00284   -4.25284       2.25        1.5   0.0698678
   4  -2.00086   -4.25086       2.25        1.5   0.0756171
   5  -1.99826   -4.24826       2.25        1.5   0.0824501
   6  -1.99504   -4.24504       2.25        1.5   0.0909138
   7   -1.9912    -4.2412       2.25        1.5   0.100744
   8  -1.98672   -4.23672       2.25        1.5   0.111948
   9  -1.98162   -4.23162       2.25        1.5   0.124572
  10  -1.97586   -4.22586       2.25        1.5   0.138586
  11  -1.96946   -4.21946       2.25        1.5   0.154077
  12   -1.9624    -4.2124       2.25        1.5   0.171015
  13  -1.95468   -4.20468       2.25        1.5   0.189369
  14  -1.94628   -4.19628       2.25        1.5   0.209305
  15  -1.93721   -4.18721       2.25        1.5   0.230638
  16  -1.92744   -4.17744       2.25        1.5   0.253417
  17  -1.91697   -4.16697       2.25        1.5   0.277651
  18  -1.90579   -4.15579       2.25        1.5    0.30358
  19  -1.89389   -4.14389       2.25        1.5   0.330978
  20  -1.88127   -4.13127       2.25        1.5   0.359852
  21  -1.86792   -4.11792       2.25        1.5    0.39005
  22  -1.85383   -4.10383       2.25        1.5   0.422077
  23    -1.839     -4.089       2.25        1.5   0.455429
  24  -1.82342   -4.07342       2.25        1.5   0.490374
  25  -1.80708   -4.05708       2.25        1.5   0.526751
  26     -1.79      -4.04       2.25        1.5   0.564511
  27  -1.77216   -4.02216       2.25        1.5   0.603988
  28  -1.75358   -4.00358       2.25        1.5   0.644815
  29  -1.73425   -3.98425       2.25        1.5   0.686965
  30  -1.71419   -3.96419       2.25        1.5   0.730564
  31  -1.69341   -3.94341       2.25        1.5   0.775614
  32  -1.67193   -3.92193       2.25        1.5   0.821877
  33  -1.64976   -3.89976       2.25        1.5   0.869689
  34  -1.62693   -3.87693       2.25        1.5   0.918644
  35  -1.60347   -3.85347       2.25        1.5   0.968558
  36   -1.5794    -3.8294       2.25        1.5    1.01966
  37  -1.55477   -3.80477       2.25        1.5    1.07172
  38  -1.52962   -3.77962       2.25        1.5    1.12475
  39    -1.504     -3.754       2.25        1.5     1.1785
  40  -1.47795   -3.72795       2.25        1.5    1.23305
  41  -1.45153   -3.70153       2.25        1.5    1.28808
  42  -1.42482   -3.67482       2.25        1.5    1.34342
  43  -1.39787   -3.64787       2.25        1.5    1.39912
  44  -1.37075   -3.62075       2.25        1.5    1.45504
  45  -1.34354   -3.59354       2.25        1.5    1.51098
  46  -1.31633   -3.56633       2.25        1.5    1.56679
  47  -1.28919   -3.53919       2.25        1.5    1.62228
  48  -1.26221   -3.51221       2.25        1.5    1.67704
  49  -1.23546   -3.48546       2.25        1.5    1.73138
  50  -1.20905   -3.45905       2.25        1.5    1.78474
  51  -1.18304   -3.43304       2.25        1.5    1.83697
  52  -1.15752   -3.40752       2.25        1.5    1.88808
  53  -1.13258   -3.38258       2.25        1.5    1.93788
  54  -1.10828   -3.35828       2.25        1.5    1.98613
  55  -1.08471   -3.33471       2.25        1.5    2.03265
