#  i    Total    Potential    Kinetic    Temperature   Pressure
   0  -1.92151   -4.15438    2.23288    1.48858   0.0234315
   1  -1.88719   -4.15409     2.2669    1.51127   0.0336133
   2  -1.84257   -4.15315    2.31058    1.54039   0.0477891
   3  -1.84608   -4.15153    2.30546    1.53697   0.0504159
   4  -1.82021   -4.14926    2.32905     1.5527   0.0622216
   5  -1.83075    -4.1463    2.31556     1.5437   0.0657477
   6  -1.82027   -4.14268     2.3224    1.54827   0.0761849
   7  -1.78549   -4.13836    2.35287    1.56858   0.0944876
   8  -1.76495   -4.13333    2.36838    1.57892   0.110525
   9  -1.73092   -4.12756    2.39664    1.59776   0.131373
  10  -1.71963   -4.12104    2.40141    1.60094   0.147823
  11  -1.71455   -4.11377    2.39922    1.59948   0.164201
  12  -1.70679   -4.10576    2.39897    1.59932   0.182794
  13  -1.70061   -4.09699    2.39638    1.59759   0.202323
  14  -1.67098   -4.08745    2.41647    1.61098   0.229619
  15  -1.66605   -4.07709    2.41104    1.60736   0.251687
  16  -1.64878   -4.06594    2.41716    1.61144   0.278698
  17  -1.66385   -4.05396    2.39011    1.59341   0.298803
  18  -1.65035   -4.04123    2.39087    1.59391   0.327848
  19  -1.63632   -4.02766    2.39134    1.59423   0.358583
  20   -1.6391   -4.01324    2.37414    1.58276    0.38627
  21  -1.65485   -3.99803    2.34318    1.56212   0.411833
  22  -1.66557   -3.98206    2.31649    1.54433   0.440425
  23  -1.68055   -3.96533    2.28478    1.52319    0.46903
  24   -1.6699   -3.94787    2.27797    1.51865   0.505589
  25  -1.66533   -3.92958    2.26425     1.5095   0.542191
  26  -1.68764    -3.9105    2.22287    1.48191    0.57272
  27  -1.67668   -3.89077    2.21408    1.47605   0.613442
  28  -1.65888   -3.87024    2.21136    1.47424   0.657395
  29   -1.6671    -3.8489     2.1818    1.45454   0.695799
  30  -1.66472   -3.82691    2.16219    1.44146   0.737855
  31  -1.66819   -3.80423    2.13604    1.42403   0.779675
  32   -1.6448   -3.78093    2.13613    1.42409   0.829461
  33  -1.61078   -3.75691    2.14613    1.43075   0.883279
  34  -1.56777   -3.73212    2.16435     1.4429   0.940744
  35  -1.56194   -3.70654     2.1446    1.42973   0.989468
  36  -1.59369   -3.68044    2.08675    1.39117    1.02901
  37  -1.59581   -3.65411     2.0583     1.3722    1.07668
  38  -1.55811   -3.62745    2.06934    1.37956    1.13529
  39  -1.52123   -3.60027    2.07904    1.38603    1.19442
  40  -1.51275   -3.57262    2.05987    1.37325    1.24668
  41   -1.5031   -3.54478    2.04168    1.36112    1.29917
  42  -1.52685   -3.51683    1.98997    1.32665    1.34279
  43  -1.53359   -3.48908    1.95549    1.30366    1.39056
  44  -1.51926   -3.46154    1.94228    1.29485     1.4432
  45  -1.49641   -3.43415    1.93774    1.29183    1.49776
  46  -1.51292   -3.40694    1.89402    1.26268    1.54122
  47  -1.48611   -3.38031    1.89419     1.2628    1.59516
  48  -1.48809   -3.35404    1.86595    1.24396    1.64062
  49  -1.45789   -3.32843    1.87054    1.24703    1.69321
  50  -1.45062   -3.30336    1.85274    1.23516    1.73867
  51  -1.44505   -3.27907    1.83402    1.22268      1.782
  52  -1.39998   -3.25567    1.85569    1.23713    1.83438
  53  -1.40055   -3.23298    1.83243    1.22162    1.87309
  54  -1.38699   -3.21136    1.82437    1.21625    1.91346
  55  -1.38399   -3.19079     1.8068    1.20453    1.94895
  56  -1.33235   -3.17138    1.83904    1.22602    1.99517
  57  -1.31667   -3.15294    1.83627    1.22418    2.03009
  58  -1.31826   -3.13568    1.81742    1.21161    2.05785
  59  -1.32817   -3.11972    1.79156    1.19437    2.08107
  60  -1.32965   -3.10512    1.77547    1.18365    2.10423
  61  -1.32539   -3.09184    1.76645    1.17764    2.12612
  62  -1.29187   -3.07987    1.78801      1.192    2.15353
  63  -1.29083   -3.06912    1.77829    1.18552    2.16992
  64  -1.29112   -3.05965    1.76853    1.17902    2.18347
  65   -1.3047   -3.05145    1.74675     1.1645    2.19097
  66  -1.30336   -3.04453    1.74116    1.16077    2.20027
  67  -1.27602   -3.03881    1.76279    1.17519    2.21399
  68  -1.27419   -3.03422    1.76003    1.17335    2.21858
  69  -1.29081   -3.03073    1.73992    1.15995    2.21623
  70  -1.28313   -3.02833    1.74519    1.16346    2.21822
  71  -1.31613   -3.02693     1.7108    1.14053    2.20735
  72  -1.27263   -3.02651    1.75388    1.16925    2.21511
  73  -1.23313   -3.02698    1.79385     1.1959    2.21994
  74  -1.22484    -3.0283    1.80346    1.20231     2.2146
  75  -1.19835   -3.03038    1.83203    1.22135    2.21238
  76  -1.18843   -3.03317    1.84474    1.22983    2.20427
  77  -1.12998    -3.0366    1.90662    1.27108    2.20771
  78  -1.14673   -3.04064     1.8939     1.2626    2.18985
  79  -1.16461   -3.04514    1.88053    1.25369    2.17047
  80  -1.15643   -3.05007    1.89364    1.26243    2.15707
  81  -1.11882   -3.05538    1.93657    1.29104    2.15058
  82  -1.13161   -3.06108    1.92947    1.28631    2.12957
  83  -1.15441   -3.06702    1.91261    1.27507    2.10528
  84  -1.14074   -3.07316    1.93242    1.28828    2.09016
  85  -1.14146    -3.0795    1.93804    1.29203    2.07043
  86  -1.11123   -3.08599    1.97476    1.31651    2.05845
  87  -1.13684   -3.09262    1.95578    1.30385    2.03116
  88  -1.14972   -3.09926    1.94954     1.2997    2.00705
  89  -1.13815   -3.10592    1.96776    1.31184    1.98912
  90     -1.12   -3.11259    1.99259    1.32839    1.97271
  91  -1.11997   -3.11926    1.99928    1.33286    1.95109
  92  -1.11914   -3.12586    2.00672    1.33782    1.92961
  93  -1.09668   -3.13238     2.0357    1.35713    1.91367
  94  -1.07876   -3.13881    2.06005    1.37337    1.89662
