#   v    f(v)
5.000000e-02   3.652011e-03
1.500000e-01   2.034408e-02
2.500000e-01   4.414170e-02
3.500000e-01   8.853149e-02
4.500000e-01   1.420414e-01
5.500000e-01   2.069440e-01
6.500000e-01   2.719458e-01
7.500000e-01   3.425547e-01
8.500000e-01   4.195446e-01
9.500000e-01   4.666833e-01
1.050000e+00   5.155786e-01
1.150000e+00   5.470673e-01
1.250000e+00   5.767895e-01
1.350000e+00   5.955755e-01
1.450000e+00   5.917746e-01
1.550000e+00   5.758963e-01
1.650000e+00   5.691480e-01
1.750000e+00   5.413610e-01
1.850000e+00   5.043546e-01
1.950000e+00   4.566502e-01
2.050000e+00   4.023960e-01
2.150000e+00   3.493029e-01
2.250000e+00   3.076522e-01
2.350000e+00   2.745856e-01
2.450000e+00   2.292332e-01
2.550000e+00   1.850617e-01
2.650000e+00   1.514989e-01
2.750000e+00   1.273440e-01
2.850000e+00   1.070793e-01
2.950000e+00   7.869687e-02
3.050000e+00   6.869353e-02
3.150000e+00   5.785659e-02
3.250000e+00   4.223630e-02
3.350000e+00   3.264977e-02
3.450000e+00   2.579233e-02
3.550000e+00   2.057233e-02
3.650000e+00   1.477675e-02
3.750000e+00   1.009265e-02
3.850000e+00   8.415504e-03
3.950000e+00   6.172692e-03
4.050000e+00   5.418473e-03
4.150000e+00   4.267295e-03
4.250000e+00   2.093952e-03
4.350000e+00   1.399276e-03
4.450000e+00   2.421442e-03
4.550000e+00   1.438972e-03
4.650000e+00   1.012242e-03
4.750000e+00   7.740675e-04
4.850000e+00   7.939154e-05
4.950000e+00   4.068817e-04
