#  i    Total    Potential    Kinetic    Temperature   Pressure
   0  -4.34684   -5.83542    1.48858   0.992389   -2.34464
   1  -4.32396   -5.83498    1.51102    1.00735   -2.33186
   2   -4.2942   -5.83408    1.53988    1.02659   -2.31379
   3  -4.29652   -5.83271    1.53619    1.02413   -2.31061
   4  -4.27926   -5.83089    1.55163    1.03442   -2.29478
   5  -4.28625   -5.82859    1.54233    1.02822   -2.29002
   6  -4.27924   -5.82583    1.54659    1.03106   -2.27613
   7  -4.25602    -5.8226    1.56657    1.04438   -2.25136
   8  -4.24228   -5.81887    1.57659    1.05106   -2.22963
   9  -4.21956   -5.81465    1.59508    1.06339   -2.20055
  10  -4.21198   -5.80991    1.59793    1.06529   -2.17777
  11  -4.20852   -5.80467    1.59615     1.0641     -2.155
  12  -4.20327   -5.79894    1.59567    1.06378   -2.12982
  13  -4.19907    -5.7927    1.59363    1.06242   -2.10255
  14  -4.17926   -5.78596     1.6067    1.07113   -2.06494
  15  -4.17588   -5.77867    1.60279    1.06853   -2.03361
  16  -4.16428   -5.77087    1.60659    1.07106   -1.99609
  17   -4.1742   -5.76252    1.58833    1.05888   -1.96778
  18   -4.1651    -5.7537     1.5886    1.05907   -1.92712
  19  -4.15564   -5.74433     1.5887    1.05913   -1.88418
  20  -4.15736   -5.73443    1.57706    1.05138   -1.84535
  21  -4.16772   -5.72401     1.5563    1.03753   -1.80894
  22  -4.17473   -5.71313     1.5384     1.0256   -1.76879
  23  -4.18456   -5.70176     1.5172    1.01147   -1.72805
  24  -4.17734   -5.68993     1.5126     1.0084   -1.67635
  25  -4.17417   -5.67759    1.50342    1.00228   -1.62496
  26  -4.18887   -5.66475    1.47588   0.983922   -1.58086
  27  -4.18145    -5.6515    1.47005   0.980031   -1.52387
  28  -4.16948   -5.63775    1.46827   0.978846   -1.46302
  29  -4.17481   -5.62348    1.44867   0.965781   -1.40898
  30   -4.1731    -5.6088     1.4357   0.957131   -1.34962
  31  -4.17529   -5.59367    1.41839   0.945592    -1.2907
  32   -4.1596   -5.57815    1.41855   0.945701   -1.22076
  33  -4.13684   -5.56214     1.4253   0.950201   -1.14525
  34   -4.1081   -5.54561    1.43751   0.958339   -1.06455
  35   -4.1041   -5.52854    1.42444   0.949629   -0.995023
  36   -4.1251   -5.51109    1.38599   0.923992   -0.937612
  37   -4.1264   -5.49345    1.36705   0.911367   -0.869129
  38   -4.1012   -5.47553    1.37433   0.916221   -0.785065
  39  -4.07653   -5.45718    1.38064   0.920429   -0.699948
  40  -4.07077   -5.43842    1.36765   0.911767   -0.623278
  41  -4.06422   -5.41942     1.3552   0.903465   -0.545475
  42  -4.07987    -5.4002    1.32033   0.880218   -0.478834
  43  -4.08419   -5.38096    1.29677   0.864514   -0.40579
  44  -4.07449   -5.36168    1.28719   0.858125   -0.325615
  45   -4.0591   -5.34229    1.28319   0.855461   -0.241875
  46  -4.06984   -5.32278    1.25294   0.835296   -0.171833
  47  -4.05177   -5.30341    1.25164   0.834426   -0.086506
  48  -4.05279     -5.284    1.23121   0.820806   -0.0120421
  49  -4.03243   -5.26473     1.2323   0.821531   0.0737128
  50  -4.02721   -5.24548    1.21826   0.812176   0.151089
  51  -4.02307   -5.22641    1.20335   0.802231   0.227756
  52  -3.99274   -5.20758    1.21485   0.809897   0.317282
  53  -3.99248   -5.18882    1.19635   0.797564   0.390871
  54  -3.98288    -5.1704    1.18752    0.79168   0.467478
  55  -3.98012    -5.1523    1.17218   0.781452   0.539705
  56  -3.94531    -5.1346    1.18928   0.792855    0.62709
  57  -3.93404   -5.11709    1.18305   0.788699   0.701749
  58  -3.93389   -5.09998    1.16608   0.777388     0.7688
  59  -3.93911   -5.08338    1.14427   0.762849   0.830809
  60  -3.93872   -5.06737    1.12865   0.752434   0.894284
  61  -3.93454   -5.05193    1.11739   0.744929   0.957224
  62  -3.91118   -5.03707    1.12589   0.750593    1.02847
  63  -3.90867   -5.02267    1.11401   0.742671    1.08717
  64   -3.9069    -5.0089    1.10199    0.73466    1.14313
  65  -3.91356   -4.99576     1.0822   0.721465     1.1925
  66  -3.91051   -4.98333    1.07282   0.715215    1.24429
  67  -3.89053   -4.97157    1.08104   0.720692    1.30206
  68  -3.88686   -4.96038    1.07352    0.71568    1.34945
  69  -3.89483   -4.94986    1.05503   0.703354    1.38826
  70  -3.88716   -4.94006    1.05291   0.701937    1.43271
  71  -3.90498   -4.93093    1.02594   0.683963    1.46147
  72  -3.87455   -4.92255      1.048   0.698668    1.51287
  73  -3.84652   -4.91474    1.06822   0.712146    1.56104
  74  -3.83792   -4.90749    1.06957   0.713048    1.59635
  75  -3.81777   -4.90085    1.08308   0.722056    1.63583
  76  -3.80802   -4.89478    1.08677    0.72451    1.66776
  77  -3.76789   -4.88929     1.1214   0.747602    1.71379
  78  -3.77462   -4.88428    1.10966   0.739777     1.7333
  79  -3.78217   -4.87984    1.09767   0.731778    1.75005
  80  -3.77319   -4.87594    1.10275   0.735166    1.77311
  81   -3.7459   -4.87253    1.12663   0.751088    1.80434
  82  -3.74973   -4.86956    1.11983   0.746557    1.81738
  83  -3.75976   -4.86704    1.10728   0.738185    1.82501
  84  -3.74732   -4.86495    1.11764   0.745091    1.84288
  85  -3.74366   -4.86325    1.11959   0.746391    1.85428
  86  -3.72071   -4.86191     1.1412     0.7608    1.87511
  87  -3.73235   -4.86089    1.12854   0.752361    1.87601
  88  -3.73618   -4.86018      1.124   0.749332    1.87936
  89  -3.72472   -4.85976    1.13503   0.756689    1.88995
  90  -3.70934   -4.85959    1.15025   0.766834    1.90144
  91  -3.70511   -4.85964    1.15453   0.769686    1.90621
  92  -3.70046   -4.85989    1.15943   0.772953    1.91013
  93  -3.68233   -4.86031    1.17798   0.785321    1.92056
  94  -3.66704   -4.86088    1.19384   0.795896    1.92812
  95  -3.66142   -4.86157    1.20016   0.800106    1.93019
  96  -3.64643   -4.86236    1.21593   0.810619    1.93701
  97  -3.65595   -4.86322    1.20726    0.80484    1.92966
  98    -3.659   -4.86412    1.20512   0.803414    1.92576
  99  -3.64717   -4.86506    1.21789   0.811926     1.9299
 100  -3.65858   -4.86603    1.20746   0.804972    1.92033
 101  -3.64989   -4.86701    1.21712   0.811416    1.92177
 102  -3.64833     -4.868    1.21967   0.813112    1.91904
 103  -3.65253   -4.86897    1.21644   0.810957    1.91275
 104  -3.64075   -4.86992    1.22917   0.819448    1.91525
 105  -3.65905   -4.87086     1.2118   0.807867    1.90182
 106  -3.64195   -4.87175     1.2298   0.819864    1.90739
 107  -3.64316   -4.87261    1.22945   0.819634    1.90272
 108   -3.6327   -4.87343    1.24073   0.827153    1.90481
 109  -3.63087    -4.8742    1.24333   0.828885    1.90228
 110  -3.60487   -4.87491    1.27005   0.846698    1.91215
 111  -3.58251   -4.87557    1.29306    0.86204    1.92074
 112  -3.59398   -4.87614    1.28216   0.854773    1.91077
 113  -3.58437   -4.87663    1.29227    0.86151    1.91206
 114  -3.56099   -4.87704    1.31605   0.877369      1.921
 115  -3.56061   -4.87736    1.31675   0.877834    1.91838
 116  -3.52686   -4.87758    1.35072   0.900479    1.93348
 117  -3.53527    -4.8777    1.34242    0.89495     1.9263
 118  -3.53375   -4.87771    1.34395   0.895968    1.92471
 119  -3.51704   -4.87761    1.36057   0.907049    1.93133
 120  -3.50949   -4.87741    1.36792   0.911944    1.93355
 121  -3.50785   -4.87709    1.36925   0.912832    1.93283
 122  -3.50659   -4.87667    1.37008   0.913387     1.9325
 123  -3.51366   -4.87615    1.36249   0.908329    1.92746
 124  -3.52118   -4.87553    1.35436   0.902906    1.92268
 125  -3.51236   -4.87483    1.36247   0.908315    1.92685
 126   -3.5201   -4.87405    1.35395   0.902635    1.92247
 127  -3.51774   -4.87319    1.35545   0.903634    1.92351
 128  -3.49916   -4.87227    1.37311   0.915407    1.93331
 129  -3.47898   -4.87128     1.3923   0.928201    1.94428
 130  -3.49766   -4.87021    1.37255   0.915034    1.93455
 131  -3.48957    -4.8691    1.37953   0.919689    1.93973
 132  -3.49153   -4.86793     1.3764     0.9176    1.93936
 133  -3.49161   -4.86672    1.37512   0.916744    1.94042
 134  -3.48154   -4.86548    1.38394   0.922627    1.94698
 135  -3.49331   -4.86421    1.37091   0.913937    1.94188
 136  -3.50372   -4.86293    1.35921   0.906141    1.93747
 137  -3.51817   -4.86165    1.34347   0.895649    1.93051
 138  -3.51427   -4.86038    1.34611   0.897408    1.93359
 139  -3.50842   -4.85913     1.3507    0.90047    1.93732
 140  -3.50555    -4.8579    1.35235   0.901569    1.93938
 141   -3.5237    -4.8567      1.333   0.888668    1.93035
 142  -3.51442   -4.85554    1.34112   0.894077    1.93534
 143  -3.49542   -4.85442      1.359   0.906002    1.94608
 144  -3.49616   -4.85334    1.35718   0.904785    1.94621
 145  -3.48726   -4.85229    1.36503   0.910018    1.95089
 146  -3.47716   -4.85127    1.37411   0.916074    1.95585
 147  -3.49811   -4.85029    1.35218   0.901454    1.94505
 148  -3.47644   -4.84935    1.37291   0.915273    1.95625
 149  -3.46061   -4.84844    1.38783   0.925219    1.96428
 150  -3.47808   -4.84754    1.36946   0.912973    1.95446
 151  -3.48496   -4.84667    1.36172   0.907811    1.95037
 152  -3.47823   -4.84584     1.3676   0.911734    1.95289
 153  -3.45707   -4.84502    1.38795   0.925299     1.9631
 154   -3.4819    -4.8442    1.36231   0.908205    1.94857
 155  -3.48371   -4.84341     1.3597   0.906465    1.94628
 156  -3.46202   -4.84262    1.38061   0.920405    1.95708
 157  -3.47261   -4.84184    1.36923   0.912823    1.95015
 158  -3.49014   -4.84106    1.35092   0.900616    1.93981
 159  -3.49219   -4.84029    1.34811   0.898738    1.93738
 160  -3.48231   -4.83954    1.35723    0.90482    1.94148
 161  -3.48264   -4.83879    1.35614   0.904096    1.93985
 162  -3.48888   -4.83804    1.34916   0.899443    1.93548
 163  -3.47926   -4.83731    1.35806   0.905372    1.93882
 164  -3.48126   -4.83659    1.35533   0.903553     1.9365
 165  -3.48281   -4.83589    1.35308   0.902056    1.93459
 166  -3.48063   -4.83521    1.35458    0.90305    1.93457
 167  -3.51014   -4.83455    1.32441   0.882941    1.91739
 168  -3.50257   -4.83394    1.33137   0.887581    1.91978
 169  -3.49846   -4.83338    1.33492   0.889945    1.92006
 170  -3.48057   -4.83287    1.35229    0.90153    1.92718
 171  -3.48517   -4.83241    1.34724   0.898161    1.92234
 172  -3.47333     -4.832    1.35867   0.905778    1.92646
 173  -3.44263   -4.83165    1.38902   0.926014    1.94028
 174   -3.4701   -4.83136    1.36126   0.907504    1.92255
 175  -3.48499   -4.83111    1.34613   0.897419    1.91138
 176  -3.49824   -4.83094     1.3327   0.888469    1.90071
 177  -3.50222   -4.83085    1.32864   0.885757    1.89522
 178  -3.51567   -4.83084    1.31517   0.876782    1.88409
 179  -3.52043   -4.83092    1.31049   0.873661    1.87741
 180  -3.51864   -4.83108    1.31245   0.874964      1.874
 181  -3.51008   -4.83134    1.32126   0.880841    1.87367
 182  -3.48385   -4.83168    1.34783   0.898551    1.88224
 183  -3.45588   -4.83209    1.37621   0.917472    1.89152
 184  -3.44141   -4.83256    1.39115   0.927436    1.89361
 185  -3.46714   -4.83307    1.36593   0.910619    1.87418
 186  -3.46468   -4.83361    1.36893   0.912617     1.8695
 187  -3.45788   -4.83419    1.37631   0.917542    1.86747
 188  -3.46235    -4.8348    1.37245   0.914965    1.85946
 189  -3.47077   -4.83543    1.36466   0.909775    1.84903
 190  -3.45619   -4.83609     1.3799   0.919936    1.85074
 191  -3.43286   -4.83677    1.40391   0.935942    1.85716
 192  -3.43389   -4.83747    1.40358   0.935719    1.85021
 193  -3.44948   -4.83816    1.38868   0.925786    1.83573
 194  -3.41867   -4.83885    1.42019   0.946793     1.8455
 195  -3.41389   -4.83955    1.42566   0.950437    1.84173
 196  -3.39512   -4.84022     1.4451   0.963401    1.84508
 197  -3.40716   -4.84088    1.43372   0.955816     1.8326
 198  -3.42149   -4.84151    1.42002   0.946678    1.81841
 199  -3.38967   -4.84211    1.45244   0.968296    1.82926
 200  -3.39738   -4.84269    1.44532   0.963545    1.81907
 201  -3.41843   -4.84324    1.42481    0.94987    1.80185
 202  -3.39291   -4.84374    1.45083   0.967221    1.80979
 203  -3.38193   -4.84422    1.46229   0.974863    1.81036
 204  -3.39255   -4.84466    1.45211   0.968071    1.79911
 205  -3.40367   -4.84504    1.44137   0.960911    1.78835
 206  -3.36392   -4.84537    1.48145   0.987636    1.80475
 207  -3.35457   -4.84565    1.49109   0.994059    1.80455
 208  -3.37176   -4.84587     1.4741   0.982736    1.79122
 209  -3.34916     -4.846    1.49684   0.997895    1.79886
 210   -3.3586   -4.84607    1.48747   0.991648    1.79044
 211    -3.353   -4.84605    1.49305    0.99537    1.78949
 212  -3.34112   -4.84596    1.50484    1.00323    1.79281
 213  -3.32957   -4.84578    1.51621    1.01081    1.79541
 214  -3.35469   -4.84551    1.49081   0.993876    1.77893
 215  -3.35528   -4.84515    1.48987   0.993244    1.77611
 216   -3.3466   -4.84472    1.49812   0.998747    1.77901
 217  -3.34701    -4.8442    1.49719   0.998126    1.77719
 218  -3.33318   -4.84361    1.51043    1.00696    1.78281
 219  -3.31009   -4.84295    1.53286     1.0219    1.79389
 220  -3.32158    -4.8422    1.52061    1.01374    1.78692
 221  -3.30756   -4.84137    1.53381    1.02254    1.79356
 222  -3.31551   -4.84047    1.52495    1.01664    1.78841
 223  -3.32151    -4.8395    1.51799      1.012    1.78529
 224   -3.3159   -4.83848    1.52258    1.01505    1.78838
 225  -3.31297    -4.8374    1.52443    1.01629    1.79037
 226  -3.31908   -4.83628     1.5172    1.01147    1.78784
 227  -3.30981   -4.83512    1.52531    1.01687    1.79349
 228  -3.29725   -4.83393    1.53667    1.02445    1.80178
 229  -3.31285    -4.8327    1.51985    1.01323    1.79472
 230  -3.31433   -4.83145    1.51712    1.01141    1.79519
 231  -3.30537   -4.83019    1.52482    1.01655    1.80192
 232  -3.31681   -4.82891     1.5121    1.00806    1.79714
 233   -3.3173   -4.82763    1.51033    1.00689    1.79871
 234  -3.31945   -4.82634    1.50689    1.00459    1.79951
 235  -3.33125   -4.82506     1.4938   0.995869    1.79488
 236  -3.33645   -4.82378    1.48734   0.991557     1.7944
