#   r      g(r)
0.003744 0.000000
0.011233 0.000000
0.018722 0.000000
0.026211 0.000000
0.033700 0.000000
0.041189 0.000000
0.048678 0.000000
0.056167 0.000000
0.063655 0.000000
0.071144 0.000000
0.078633 0.000000
0.086122 0.000000
0.093611 0.000000
0.101100 0.000000
0.108589 0.000000
0.116078 0.000000
0.123566 0.000000
0.131055 0.000000
0.138544 0.000000
0.146033 0.000000
0.153522 0.000000
0.161011 0.000000
0.168500 0.000000
0.175989 0.000000
0.183477 0.000000
0.190966 0.000000
0.198455 0.000000
0.205944 0.000000
0.213433 0.000000
0.220922 0.000000
0.228411 0.000000
0.235899 0.000000
0.243388 0.000000
0.250877 0.000000
0.258366 0.000000
0.265855 0.000000
0.273344 0.000000
0.280833 0.000000
0.288322 0.000000
0.295810 0.000000
0.303299 0.000000
0.310788 0.000000
0.318277 0.000000
0.325766 0.000000
0.333255 0.000000
0.340744 0.000000
0.348233 0.000000
0.355721 0.000000
0.363210 0.000000
0.370699 0.000000
0.378188 0.000000
0.385677 0.000000
0.393166 0.000000
0.400655 0.000000
0.408144 0.000000
0.415632 0.000000
0.423121 0.000000
0.430610 0.000000
0.438099 0.000000
0.445588 0.000000
0.453077 0.000000
0.460566 0.000000
0.468055 0.000000
0.475543 0.000000
0.483032 0.000000
0.490521 0.000000
0.498010 0.000000
0.505499 0.000000
0.512988 0.000000
0.520477 0.000000
0.527966 0.000000
0.535454 0.000000
0.542943 0.000000
0.550432 0.000000
0.557921 0.000000
0.565410 0.000000
0.572899 0.000000
0.580388 0.000000
0.587876 0.000000
0.595365 0.000000
0.602854 0.000000
0.610343 0.000000
0.617832 0.000000
0.625321 0.000000
0.632810 0.000000
0.640299 0.000000
0.647787 0.000000
0.655276 0.000000
0.662765 0.000000
0.670254 0.000000
0.677743 0.000000
0.685232 0.000000
0.692721 0.000000
0.700210 0.000000
0.707698 0.000000
0.715187 0.000000
0.722676 0.000000
0.730165 0.000000
0.737654 0.000000
0.745143 0.000000
0.752632 0.000000
0.760121 0.000000
0.767609 0.000000
0.775098 0.000000
0.782587 0.000000
0.790076 0.000000
0.797565 0.000000
0.805054 0.000000
0.812543 0.000000
0.820032 0.000000
0.827520 0.000000
0.835009 0.000000
0.842498 0.000000
0.849987 0.000000
0.857476 0.000000
0.864965 0.000000
0.872454 0.000000
0.879943 0.000000
0.887431 0.000870
0.894920 0.002930
0.902409 0.004273
0.909898 0.009680
0.917387 0.018231
0.924876 0.042593
0.932365 0.075544
0.939853 0.141795
0.947342 0.230214
0.954831 0.335400
0.962320 0.492809
0.969809 0.655734
0.977298 0.832589
0.984787 1.042284
0.992276 1.240518
0.999764 1.453290
1.007253 1.629893
1.014742 1.810643
1.022231 2.002819
1.029720 2.138587
1.037209 2.291485
1.044698 2.423394
1.052187 2.523848
1.059675 2.584090
1.067164 2.615290
1.074653 2.681097
1.082142 2.680678
1.089631 2.664252
1.097120 2.654681
1.104609 2.571857
1.112098 2.488436
1.119586 2.466447
1.127075 2.399930
1.134564 2.316271
1.142053 2.268044
1.149542 2.210001
1.157031 2.161753
1.164520 2.088374
1.172009 2.005095
1.179497 1.943899
1.186986 1.847446
1.194475 1.791113
1.201964 1.704977
1.209453 1.652551
1.216942 1.598772
1.224431 1.538004
1.231920 1.448869
1.239408 1.397776
1.246897 1.354957
1.254386 1.309691
1.261875 1.295897
1.269364 1.247028
1.276853 1.204323
1.284342 1.147264
1.291830 1.116703
