#  i    Total    Potential    Kinetic    Temperature   Pressure
   0  -3.06763   -4.56763        1.5          1    27.4203
   1  -3.06656   -4.56656        1.5          1     27.427
   2  -3.06243   -4.56243        1.5          1    27.4509
   3  -3.05525   -4.55525        1.5          1    27.4927
   4  -3.04503   -4.54503        1.5          1     27.551
   5   -3.0318    -4.5318        1.5          1    27.6266
   6  -3.01559   -4.51559        1.5          1    27.7186
   7  -2.99644   -4.49644        1.5          1    27.8272
   8  -2.97438   -4.47438        1.5          1    27.9533
   9  -2.94946   -4.44946        1.5          1    28.0955
  10  -2.92174   -4.42174        1.5          1    28.2527
  11   -2.8913    -4.3913        1.5          1     28.425
  12  -2.85819   -4.35819        1.5          1    28.6129
  13  -2.82252   -4.32252        1.5          1    28.8155
  14  -2.78439   -4.28439        1.5          1    29.0306
  15  -2.74389   -4.24389        1.5          1    29.2609
  16  -2.70116   -4.20116        1.5          1    29.5028
  17  -2.65635   -4.15635        1.5          1     29.756
  18   -2.6096    -4.1096        1.5          1      30.02
  19   -2.5611    -4.0611        1.5          1     30.294
  20  -2.51102   -4.01102        1.5          1    30.5772
  21  -2.45959   -3.95959        1.5          1    30.8678
  22  -2.40702   -3.90702        1.5          1    31.1654
  23  -2.35355   -3.85355        1.5          1    31.4677
  24  -2.29945   -3.79945        1.5          1    31.7732
  25  -2.24499   -3.74499        1.5          1      32.08
  26  -2.19045   -3.69045        1.5          1    32.3884
  27  -2.13612   -3.63612        1.5          1    32.6959
  28  -2.08229   -3.58229        1.5          1    33.0004
  29  -2.02928   -3.52928        1.5          1    33.3011
  30  -1.97737   -3.47737        1.5          1    33.5954
  31  -1.92685   -3.42685        1.5          1    33.8818
  32    -1.878     -3.378        1.5          1    34.1588
  33  -1.83106   -3.33106        1.5          1    34.4253
  34  -1.78627   -3.28627        1.5          1    34.6799
  35  -1.74382   -3.24382        1.5          1    34.9217
  36  -1.70388   -3.20388        1.5          1    35.1496
  37  -1.66658   -3.16658        1.5          1    35.3626
  38  -1.63201   -3.13201        1.5          1    35.5605
  39  -1.60023   -3.10023        1.5          1    35.7441
  40  -1.57125   -3.07125        1.5          1    35.9107
  41  -1.54506   -3.04506        1.5          1    36.0619
  42  -1.52159   -3.02159        1.5          1    36.1982
  43  -1.50076   -3.00076        1.5          1    36.3197
  44  -1.48246   -2.98246        1.5          1    36.4268
  45  -1.46655   -2.96655        1.5          1    36.5202
  46   -1.4529    -2.9529        1.5          1    36.6008
  47  -1.44134   -2.94134        1.5          1    36.6695
  48  -1.43169   -2.93169        1.5          1     36.727
  49  -1.42379   -2.92379        1.5          1    36.7738
  50  -1.41746   -2.91746        1.5          1    36.8121
  51  -1.41252   -2.91252        1.5          1    36.8415
  52  -1.40882   -2.90882        1.5          1     36.864
  53  -1.40619   -2.90619        1.5          1    36.8813
  54  -1.40449   -2.90449        1.5          1     36.892
  55  -1.40357   -2.90357        1.5          1     36.899
  56  -1.40331   -2.90331        1.5          1    36.9014
  57  -1.40359   -2.90359        1.5          1    36.9003
  58   -1.4043    -2.9043        1.5          1    36.8951
  59  -1.40537   -2.90537        1.5          1     36.888
  60  -1.40669   -2.90669        1.5          1    36.8795
  61   -1.4082    -2.9082        1.5          1    36.8699
  62  -1.40985   -2.90985        1.5          1    36.8601
  63  -1.41157   -2.91157        1.5          1    36.8494
  64  -1.41333   -2.91333        1.5          1    36.8385
  65   -1.4151    -2.9151        1.5          1    36.8273
  66  -1.41684   -2.91684        1.5          1    36.8164
  67  -1.41854   -2.91854        1.5          1     36.805
  68  -1.42019   -2.92019        1.5          1    36.7937
  69  -1.42178   -2.92178        1.5          1    36.7824
  70  -1.42333   -2.92333        1.5          1    36.7717
  71  -1.42483   -2.92483        1.5          1    36.7616
  72  -1.42632   -2.92632        1.5          1    36.7509
  73   -1.4278    -2.9278        1.5          1    36.7399
  74   -1.4293    -2.9293        1.5          1    36.7302
  75  -1.43085   -2.93085        1.5          1    36.7207
  76  -1.43247   -2.93247        1.5          1    36.7102
  77   -1.4342    -2.9342        1.5          1    36.6993
  78  -1.43604   -2.93604        1.5          1    36.6871
  79  -1.43801   -2.93801        1.5          1    36.6752
  80  -1.44013   -2.94013        1.5          1    36.6614
  81  -1.44239   -2.94239        1.5          1    36.6472
  82  -1.44478   -2.94478        1.5          1     36.632
  83  -1.44729   -2.94729        1.5          1    36.6178
  84  -1.44989   -2.94989        1.5          1    36.6024
  85  -1.45255   -2.95255        1.5          1    36.5859
  86  -1.45524   -2.95524        1.5          1    36.5692
  87  -1.45792   -2.95792        1.5          1     36.554
  88  -1.46058   -2.96058        1.5          1    36.5391
  89  -1.46318   -2.96318        1.5          1    36.5241
  90   -1.4657    -2.9657        1.5          1    36.5097
  91  -1.46814   -2.96814        1.5          1    36.4957
  92  -1.47051   -2.97051        1.5          1    36.4825
  93   -1.4728    -2.9728        1.5          1    36.4689
  94  -1.47505   -2.97505        1.5          1    36.4552
  95  -1.47729   -2.97729        1.5          1    36.4421
  96  -1.47955   -2.97955        1.5          1    36.4293
  97  -1.48189   -2.98189        1.5          1    36.4145
  98  -1.48437   -2.98437        1.5          1    36.3996
  99  -1.48704   -2.98704        1.5          1    36.3835
 100  -1.48997   -2.98997        1.5          1    36.3663
 101  -1.49321   -2.99321        1.5          1    36.3472
 102  -1.49684   -2.99684        1.5          1    36.3255
 103   -1.5009    -3.0009        1.5          1     36.302
 104  -1.50544   -3.00544        1.5          1    36.2762
 105  -1.51051   -3.01051        1.5          1    36.2465
 106  -1.51613   -3.01613        1.5          1    36.2146
 107  -1.52233   -3.02233        1.5          1    36.1796
 108   -1.5291    -3.0291        1.5          1    36.1412
 109  -1.53643   -3.03643        1.5          1    36.0997
 110  -1.54432   -3.04432        1.5          1     36.055
 111  -1.55273   -3.05273        1.5          1    36.0083
 112  -1.56162   -3.06162        1.5          1    35.9582
 113  -1.57096   -3.07096        1.5          1    35.9061
 114  -1.58069   -3.08069        1.5          1     35.852
 115  -1.59077   -3.09077        1.5          1    35.7958
 116  -1.60114   -3.10114        1.5          1     35.738
 117  -1.61176   -3.11176        1.5          1    35.6788
 118  -1.62258   -3.12258        1.5          1    35.6187
 119  -1.63356   -3.13356        1.5          1     35.558
 120  -1.64466   -3.14466        1.5          1    35.4951
 121  -1.65586   -3.15586        1.5          1    35.4325
 122  -1.66713   -3.16713        1.5          1    35.3691
 123  -1.67843   -3.17843        1.5          1    35.3052
 124  -1.68977   -3.18977        1.5          1    35.2417
 125  -1.70111   -3.20111        1.5          1    35.1784
 126  -1.71244   -3.21244        1.5          1    35.1147
 127  -1.72376   -3.22376        1.5          1    35.0505
 128  -1.73505   -3.23505        1.5          1    34.9865
 129  -1.74631   -3.24631        1.5          1    34.9234
 130  -1.75752   -3.25752        1.5          1    34.8611
 131  -1.76867   -3.26867        1.5          1    34.7973
 132  -1.77976   -3.27976        1.5          1    34.7341
 133  -1.79077   -3.29077        1.5          1    34.6723
 134  -1.80169   -3.30169        1.5          1    34.6107
 135   -1.8125    -3.3125        1.5          1    34.5504
 136  -1.82318   -3.32318        1.5          1    34.4909
 137  -1.83373   -3.33373        1.5          1     34.432
 138   -1.8441    -3.3441        1.5          1    34.3741
 139  -1.85429   -3.35429        1.5          1    34.3176
 140  -1.86428   -3.36428        1.5          1    34.2624
 141  -1.87403   -3.37403        1.5          1     34.208
 142  -1.88352   -3.38352        1.5          1    34.1559
 143  -1.89273   -3.39273        1.5          1    34.1061
 144  -1.90163   -3.40163        1.5          1     34.057
 145  -1.91019   -3.41019        1.5          1    34.0097
 146  -1.91839   -3.41839        1.5          1    33.9649
 147  -1.92621   -3.42621        1.5          1    33.9222
 148  -1.93361   -3.43361        1.5          1    33.8814
 149  -1.94058   -3.44058        1.5          1     33.844
 150  -1.94711   -3.44711        1.5          1     33.809
 151  -1.95317   -3.45317        1.5          1    33.7758
 152  -1.95876   -3.45876        1.5          1    33.7457
 153  -1.96387   -3.46387        1.5          1    33.7183
 154   -1.9685    -3.4685        1.5          1    33.6941
 155  -1.97265   -3.47265        1.5          1    33.6719
 156  -1.97634   -3.47634        1.5          1     33.652
 157  -1.97957   -3.47957        1.5          1    33.6353
 158  -1.98237   -3.48237        1.5          1    33.6198
 159  -1.98475   -3.48475        1.5          1    33.6076
 160  -1.98676   -3.48676        1.5          1    33.5973
 161  -1.98841   -3.48841        1.5          1    33.5887
 162  -1.98976   -3.48976        1.5          1    33.5824
 163  -1.99083   -3.49083        1.5          1    33.5774
 164  -1.99168   -3.49168        1.5          1    33.5737
 165  -1.99233   -3.49233        1.5          1    33.5704
 166  -1.99284   -3.49284        1.5          1    33.5672
 167  -1.99324   -3.49324        1.5          1    33.5659
 168  -1.99358   -3.49358        1.5          1    33.5649
 169   -1.9939    -3.4939        1.5          1    33.5642
 170  -1.99424   -3.49424        1.5          1    33.5636
 171  -1.99462   -3.49462        1.5          1     33.562
 172  -1.99507   -3.49507        1.5          1    33.5603
 173  -1.99563   -3.49563        1.5          1    33.5588
 174   -1.9963    -3.4963        1.5          1    33.5571
 175   -1.9971    -3.4971        1.5          1     33.554
 176  -1.99803   -3.49803        1.5          1    33.5494
 177  -1.99911   -3.49911        1.5          1    33.5442
 178  -2.00033   -3.50033        1.5          1    33.5384
 179  -2.00168   -3.50168        1.5          1    33.5315
 180  -2.00315   -3.50315        1.5          1    33.5246
 181  -2.00472   -3.50472        1.5          1    33.5168
 182  -2.00638   -3.50638        1.5          1    33.5094
 183  -2.00812   -3.50812        1.5          1    33.5009
 184   -2.0099    -3.5099        1.5          1    33.4913
 185   -2.0117    -3.5117        1.5          1    33.4828
 186  -2.01351   -3.51351        1.5          1    33.4735
 187  -2.01529   -3.51529        1.5          1    33.4649
 188  -2.01703   -3.51703        1.5          1    33.4551
 189   -2.0187    -3.5187        1.5          1    33.4461
 190  -2.02029   -3.52029        1.5          1    33.4382
 191  -2.02177   -3.52177        1.5          1    33.4303
 192  -2.02314   -3.52314        1.5          1    33.4234
 193  -2.02438   -3.52438        1.5          1    33.4166
 194  -2.02549   -3.52549        1.5          1    33.4105
 195  -2.02646   -3.52646        1.5          1    33.4054
 196  -2.02728   -3.52728        1.5          1    33.4017
 197  -2.02795   -3.52795        1.5          1    33.3983
 198  -2.02848   -3.52848        1.5          1    33.3956
 199  -2.02886   -3.52886        1.5          1    33.3937
 200   -2.0291    -3.5291        1.5          1    33.3924
 201  -2.02921   -3.52921        1.5          1    33.3916
 202  -2.02919   -3.52919        1.5          1    33.3914
 203  -2.02905   -3.52905        1.5          1    33.3917
 204   -2.0288    -3.5288        1.5          1    33.3933
 205  -2.02844   -3.52844        1.5          1    33.3946
 206  -2.02797   -3.52797        1.5          1    33.3965
 207  -2.02742   -3.52742        1.5          1    33.3989
 208  -2.02677   -3.52677        1.5          1    33.4025
 209  -2.02603   -3.52603        1.5          1    33.4055
 210  -2.02521   -3.52521        1.5          1    33.4095
 211   -2.0243    -3.5243        1.5          1    33.4144
 212  -2.02331   -3.52331        1.5          1    33.4195
 213  -2.02223   -3.52223        1.5          1    33.4247
 214  -2.02108   -3.52108        1.5          1    33.4304
 215  -2.01984   -3.51984        1.5          1    33.4365
 216  -2.01854   -3.51854        1.5          1    33.4423
 217  -2.01717   -3.51717        1.5          1    33.4487
 218  -2.01573   -3.51573        1.5          1    33.4551
 219  -2.01425   -3.51425        1.5          1    33.4622
 220  -2.01274   -3.51274        1.5          1    33.4688
 221  -2.01119   -3.51119        1.5          1     33.476
 222  -2.00965   -3.50965        1.5          1     33.483
 223  -2.00812   -3.50812        1.5          1    33.4899
 224  -2.00662   -3.50662        1.5          1    33.4967
 225  -2.00519   -3.50519        1.5          1    33.5023
 226  -2.00384   -3.50384        1.5          1    33.5085
 227   -2.0026    -3.5026        1.5          1    33.5141
 228  -2.00149   -3.50149        1.5          1    33.5174
 229  -2.00054   -3.50054        1.5          1    33.5201
 230  -1.99977   -3.49977        1.5          1    33.5219
 231   -1.9992    -3.4992        1.5          1    33.5228
 232  -1.99885   -3.49885        1.5          1    33.5226
 233  -1.99872   -3.49872        1.5          1    33.5202
 234  -1.99884   -3.49884        1.5          1     33.517
 235  -1.99921   -3.49921        1.5          1    33.5124
 236  -1.99984   -3.49984        1.5          1     33.507
 237  -2.00073   -3.50073        1.5          1    33.4993
 238  -2.00187   -3.50187        1.5          1    33.4905
 239  -2.00326   -3.50326        1.5          1    33.4801
 240   -2.0049    -3.5049        1.5          1    33.4677
 241  -2.00678   -3.50678        1.5          1    33.4546
 242  -2.00888   -3.50888        1.5          1    33.4396
 243   -2.0112    -3.5112        1.5          1    33.4239
 244  -2.01374   -3.51374        1.5          1    33.4073
 245  -2.01647   -3.51647        1.5          1    33.3889
 246  -2.01939   -3.51939        1.5          1    33.3695
 247  -2.02249   -3.52249        1.5          1    33.3491
 248  -2.02577   -3.52577        1.5          1    33.3288
 249  -2.02922   -3.52922        1.5          1    33.3071
 250  -2.03284   -3.53284        1.5          1    33.2842
 251  -2.03662   -3.53662        1.5          1    33.2599
 252  -2.04056   -3.54056        1.5          1    33.2353
 253  -2.04467   -3.54467        1.5          1    33.2102
 254  -2.04894   -3.54894        1.5          1    33.1843
 255  -2.05336   -3.55336        1.5          1    33.1578
 256  -2.05794   -3.55794        1.5          1    33.1315
 257  -2.06267   -3.56267        1.5          1    33.1033
 258  -2.06754   -3.56754        1.5          1    33.0755
 259  -2.07253   -3.57253        1.5          1    33.0465
 260  -2.07764   -3.57764        1.5          1     33.017
 261  -2.08284   -3.58284        1.5          1    32.9868
 262  -2.08811   -3.58811        1.5          1    32.9565
 263  -2.09343   -3.59343        1.5          1    32.9263
 264  -2.09875   -3.59875        1.5          1    32.8959
 265  -2.10406   -3.60406        1.5          1    32.8664
 266  -2.10931   -3.60931        1.5          1    32.8363
 267  -2.11447   -3.61447        1.5          1    32.8071
 268  -2.11949   -3.61949        1.5          1    32.7792
 269  -2.12433   -3.62433        1.5          1    32.7515
 270  -2.12896   -3.62896        1.5          1     32.726
 271  -2.13333   -3.63333        1.5          1    32.7005
 272  -2.13741   -3.63741        1.5          1     32.678
 273  -2.14116   -3.64116        1.5          1    32.6573
 274  -2.14454   -3.64454        1.5          1    32.6381
 275  -2.14753   -3.64753        1.5          1    32.6213
 276  -2.15009   -3.65009        1.5          1    32.6069
 277  -2.15222   -3.65222        1.5          1    32.5943
 278  -2.15388   -3.65388        1.5          1    32.5854
 279  -2.15508   -3.65508        1.5          1    32.5786
 280   -2.1558    -3.6558        1.5          1    32.5752
 281  -2.15606   -3.65606        1.5          1    32.5736
 282  -2.15585   -3.65585        1.5          1    32.5744
 283   -2.1552    -3.6552        1.5          1    32.5774
 284  -2.15413   -3.65413        1.5          1    32.5828
 285  -2.15266   -3.65266        1.5          1    32.5902
 286  -2.15083   -3.65083        1.5          1    32.5992
 287  -2.14868   -3.64868        1.5          1    32.6102
 288  -2.14625   -3.64625        1.5          1    32.6225
 289   -2.1436    -3.6436        1.5          1    32.6371
 290  -2.14078   -3.64078        1.5          1    32.6516
 291  -2.13785   -3.63785        1.5          1    32.6672
 292  -2.13487   -3.63487        1.5          1    32.6832
 293   -2.1319    -3.6319        1.5          1    32.6994
 294    -2.129     -3.629        1.5          1    32.7147
 295  -2.12622   -3.62622        1.5          1    32.7296
 296  -2.12363   -3.62363        1.5          1    32.7436
 297  -2.12127   -3.62127        1.5          1    32.7569
 298  -2.11919   -3.61919        1.5          1    32.7678
 299  -2.11742   -3.61742        1.5          1    32.7779
 300  -2.11602   -3.61602        1.5          1    32.7857
 301  -2.11499   -3.61499        1.5          1    32.7923
 302  -2.11437   -3.61437        1.5          1    32.7958
 303  -2.11415   -3.61415        1.5          1    32.7973
 304  -2.11435   -3.61435        1.5          1    32.7973
 305  -2.11493   -3.61493        1.5          1     32.795
 306   -2.1159    -3.6159        1.5          1    32.7893
 307  -2.11721   -3.61721        1.5          1    32.7828
 308  -2.11882   -3.61882        1.5          1    32.7757
 309   -2.1207    -3.6207        1.5          1    32.7659
 310  -2.12277   -3.62277        1.5          1    32.7559
 311    -2.125     -3.625        1.5          1    32.7459
 312  -2.12732   -3.62732        1.5          1    32.7341
 313  -2.12966   -3.62966        1.5          1    32.7219
 314  -2.13197   -3.63197        1.5          1    32.7088
 315  -2.13419   -3.63419        1.5          1    32.6964
 316  -2.13627   -3.63627        1.5          1    32.6853
 317  -2.13817   -3.63817        1.5          1    32.6741
 318  -2.13984   -3.63984        1.5          1    32.6649
 319  -2.14126   -3.64126        1.5          1    32.6573
 320  -2.14241   -3.64241        1.5          1    32.6498
 321  -2.14328   -3.64328        1.5          1    32.6445
 322  -2.14387   -3.64387        1.5          1    32.6405
 323   -2.1442    -3.6442        1.5          1    32.6386
 324  -2.14428   -3.64428        1.5          1    32.6369
 325  -2.14413   -3.64413        1.5          1    32.6368
 326   -2.1438    -3.6438        1.5          1    32.6385
 327  -2.14333   -3.64333        1.5          1    32.6404
 328  -2.14276   -3.64276        1.5          1    32.6423
 329  -2.14214   -3.64214        1.5          1    32.6456
 330  -2.14153   -3.64153        1.5          1    32.6475
 331  -2.14098   -3.64098        1.5          1    32.6496
 332  -2.14053   -3.64053        1.5          1    32.6499
 333  -2.14023   -3.64023        1.5          1    32.6509
 334  -2.14013   -3.64013        1.5          1    32.6491
 335  -2.14026   -3.64026        1.5          1    32.6475
 336  -2.14064   -3.64064        1.5          1    32.6449
 337  -2.14131   -3.64131        1.5          1    32.6409
 338  -2.14228   -3.64228        1.5          1    32.6342
 339  -2.14356   -3.64356        1.5          1    32.6261
 340  -2.14515   -3.64515        1.5          1    32.6154
 341  -2.14705   -3.64705        1.5          1    32.6039
 342  -2.14926   -3.64926        1.5          1    32.5901
 343  -2.15177   -3.65177        1.5          1    32.5755
