#  i    Total    Potential    Kinetic    Temperature   Pressure
   0   5.47333    3.97333        1.5          1    75.2918
   1   5.47542    3.97542        1.5          1    75.3017
   2   5.48388    3.98388        1.5          1     75.345
   3   5.49862    3.99862        1.5          1     75.421
   4   5.51949    4.01949        1.5          1    75.5292
   5    5.5463     4.0463        1.5          1    75.6683
   6   5.57882    4.07882        1.5          1    75.8372
   7   5.61675    4.11675        1.5          1    76.0344
   8   5.65976    4.15976        1.5          1    76.2579
   9   5.70744    4.20744        1.5          1    76.5056
  10   5.75934    4.25934        1.5          1    76.7751
  11    5.8149     4.3149        1.5          1    77.0634
  12   5.87351    4.37351        1.5          1    77.3673
  13   5.93448    4.43448        1.5          1     77.683
  14   5.99703    4.49703        1.5          1    78.0064
  15   6.06029    4.56029        1.5          1    78.3329
  16   6.12335    4.62335        1.5          1    78.6577
  17   6.18518    4.68518        1.5          1    78.9753
  18   6.24473    4.74473        1.5          1    79.2802
  19   6.30093    4.80093        1.5          1    79.5668
  20   6.35267    4.85267        1.5          1    79.8292
  21   6.39892    4.89892        1.5          1    80.0619
  22   6.43869    4.93869        1.5          1    80.2599
  23   6.47111    4.97111        1.5          1    80.4186
  24   6.49547    4.99547        1.5          1    80.5342
  25   6.51126    5.01126        1.5          1    80.6042
  26   6.51816    5.01816        1.5          1    80.6268
  27    6.5161     5.0161        1.5          1    80.6017
  28   6.50523    5.00523        1.5          1    80.5298
  29   6.48592    4.98592        1.5          1    80.4131
  30   6.45872    4.95872        1.5          1    80.2543
  31   6.42436    4.92436        1.5          1    80.0575
  32   6.38365    4.88365        1.5          1    79.8269
  33   6.33749    4.83749        1.5          1    79.5673
  34   6.28682    4.78682        1.5          1    79.2837
  35   6.23257    4.73257        1.5          1     78.981
  36   6.17562    4.67562        1.5          1    78.6636
  37   6.11681    4.61681        1.5          1    78.3363
  38    6.0569     4.5569        1.5          1    78.0032
  39   5.99655    4.49655        1.5          1    77.6677
  40   5.93637    4.43637        1.5          1    77.3327
  41   5.87682    4.37682        1.5          1    77.0012
  42   5.81831    4.31831        1.5          1    76.6752
  43   5.76116    4.26116        1.5          1    76.3564
  44    5.7056     4.2056        1.5          1    76.0459
  45    5.6518     4.1518        1.5          1    75.7444
  46   5.59985    4.09985        1.5          1    75.4531
  47   5.54979    4.04979        1.5          1    75.1719
  48   5.50162    4.00162        1.5          1    74.9006
  49   5.45528    3.95528        1.5          1    74.6388
  50   5.41069    3.91069        1.5          1    74.3869
  51   5.36773    3.86773        1.5          1    74.1438
  52   5.32628    3.82628        1.5          1    73.9088
  53   5.28616    3.78616        1.5          1    73.6805
  54   5.24721    3.74721        1.5          1    73.4591
  55   5.20926    3.70926        1.5          1    73.2427
  56   5.17212    3.67212        1.5          1     73.031
  57   5.13561    3.63561        1.5          1    72.8228
  58   5.09954    3.59954        1.5          1    72.6174
  59   5.06374    3.56374        1.5          1    72.4135
  60   5.02804    3.52804        1.5          1    72.2101
  61   4.99227    3.49227        1.5          1    72.0066
  62   4.95628    3.45628        1.5          1    71.8019
  63   4.91992    3.41992        1.5          1    71.5955
  64   4.88306    3.38306        1.5          1    71.3865
