#   r      g(r)
0.003271 0.000000
0.009813 0.000000
0.016355 0.000000
0.022897 0.000000
0.029440 0.000000
0.035982 0.000000
0.042524 0.000000
0.049066 0.000000
0.055608 0.000000
0.062150 0.000000
0.068692 0.000000
0.075235 0.000000
0.081777 0.000000
0.088319 0.000000
0.094861 0.000000
0.101403 0.000000
0.107945 0.000000
0.114487 0.000000
0.121029 0.000000
0.127572 0.000000
0.134114 0.000000
0.140656 0.000000
0.147198 0.000000
0.153740 0.000000
0.160282 0.000000
0.166824 0.000000
0.173367 0.000000
0.179909 0.000000
0.186451 0.000000
0.192993 0.000000
0.199535 0.000000
0.206077 0.000000
0.212619 0.000000
0.219161 0.000000
0.225704 0.000000
0.232246 0.000000
0.238788 0.000000
0.245330 0.000000
0.251872 0.000000
0.258414 0.000000
0.264956 0.000000
0.271499 0.000000
0.278041 0.000000
0.284583 0.000000
0.291125 0.000000
0.297667 0.000000
0.304209 0.000000
0.310751 0.000000
0.317293 0.000000
0.323836 0.000000
0.330378 0.000000
0.336920 0.000000
0.343462 0.000000
0.350004 0.000000
0.356546 0.000000
0.363088 0.000000
0.369630 0.000000
0.376173 0.000000
0.382715 0.000000
0.389257 0.000000
0.395799 0.000000
0.402341 0.000000
0.408883 0.000000
0.415425 0.000000
0.421968 0.000000
0.428510 0.000000
0.435052 0.000000
0.441594 0.000000
0.448136 0.000000
0.454678 0.000000
0.461220 0.000000
0.467762 0.000000
0.474305 0.000000
0.480847 0.000000
0.487389 0.000000
0.493931 0.000000
0.500473 0.000000
0.507015 0.000000
0.513557 0.000000
0.520100 0.000000
0.526642 0.000000
0.533184 0.000000
0.539726 0.000000
0.546268 0.000000
0.552810 0.000000
0.559352 0.000000
0.565894 0.000000
0.572437 0.000000
0.578979 0.000000
0.585521 0.000000
0.592063 0.000000
0.598605 0.000000
0.605147 0.000000
0.611689 0.000000
0.618232 0.000000
0.624774 0.000000
0.631316 0.000000
0.637858 0.000000
0.644400 0.000000
0.650942 0.000000
0.657484 0.000000
0.664026 0.000000
0.670569 0.000000
0.677111 0.000000
0.683653 0.000000
0.690195 0.000000
0.696737 0.000000
0.703279 0.000000
0.709821 0.000000
0.716364 0.000000
0.722906 0.000000
0.729448 0.000000
0.735990 0.000000
0.742532 0.000000
0.749074 0.000000
0.755616 0.000000
0.762158 0.000000
0.768701 0.000000
0.775243 0.000000
0.781785 0.000000
0.788327 0.000000
0.794869 0.000000
0.801411 0.000000
0.807953 0.000000
0.814496 0.000000
0.821038 0.000000
0.827580 0.000000
0.834122 0.000000
0.840664 0.000000
0.847206 0.000000
0.853748 0.000000
0.860290 0.000000
0.866833 0.000803
0.873375 0.002664
0.879917 0.007146
0.886459 0.015899
0.893001 0.037490
0.899543 0.089110
0.906085 0.163035
0.912628 0.270444
0.919170 0.446824
0.925712 0.692255
0.932254 0.982146
0.938796 1.311740
0.945338 1.704752
0.951880 2.115183
0.958422 2.530889
0.964965 2.918594
0.971507 3.248595
0.978049 3.609096
0.984591 3.888555
0.991133 4.038631
0.997675 4.160234
1.004217 4.202206
1.010759 4.162735
1.017302 4.130693
1.023844 4.018691
1.030386 3.879896
1.036928 3.711453
1.043470 3.549003
1.050012 3.356232
1.056554 3.214015
1.063097 3.007940
1.069639 2.769319
1.076181 2.612120
1.082723 2.479720
1.089265 2.296397
1.095807 2.132158
1.102349 1.971031
1.108891 1.815445
1.115434 1.711889
1.121976 1.600534
1.128518 1.490501
1.135060 1.375910
1.141602 1.285855
1.148144 1.206945
1.154686 1.133900
1.161229 1.070924
1.167771 1.004873
1.174313 0.928464
1.180855 0.876364
1.187397 0.820086
1.193939 0.776446
1.200481 0.739724
1.207023 0.706442
1.213566 0.679324
1.220108 0.650462
1.226650 0.614875
1.233192 0.594187
1.239734 0.573716
1.246276 0.554121
1.252818 0.525558
