 # Cycle    Energy/N    Magnetization/N
           2 -0.759999990     -0.200000003    
           4 -0.759999990     -0.319999993    
           6 -0.879999995     -0.119999997    
           8  -1.27999997     -0.319999993    
          10  -1.24000001     -0.140000001    
          12  -1.20000005     -0.119999997    
          14  -1.15999997      -5.99999987E-02
          16  -1.08000004     -0.159999996    
          18  -1.24000001     -0.219999999    
          20  -1.08000004       3.99999991E-02
          22  -1.32000005       0.00000000    
          24  -1.20000005      0.100000001    
          26  -1.27999997      -5.99999987E-02
          28  -1.15999997       3.99999991E-02
          30  -1.15999997      0.200000003    
          32 -0.920000017      0.259999990    
          34  -1.08000004      0.360000014    
          36  -1.20000005      0.519999981    
          38  -1.20000005      0.419999987    
          40  -1.32000005      0.319999993    
          42  -1.08000004      0.319999993    
          44  -1.44000006      0.560000002    
          46  -1.72000003      0.839999974    
          48  -1.75999999      0.879999995    
          50  -1.55999994      0.860000014    
          52  -1.84000003      0.959999979    
          54  -1.60000002      0.879999995    
          56  -1.67999995      0.899999976    
          58  -1.60000002      0.860000014    
          60  -1.51999998      0.860000014    
          62  -1.75999999      0.860000014    
          64  -1.51999998      0.779999971    
          66  -1.55999994      0.819999993    
          68  -1.84000003      0.939999998    
          70  -1.75999999      0.939999998    
          72  -1.63999999      0.860000014    
          74  -1.48000002      0.860000014    
          76  -1.51999998      0.860000014    
          78  -1.51999998      0.839999974    
          80  -1.67999995      0.920000017    
          82  -1.60000002      0.860000014    
          84  -1.60000002      0.879999995    
          86  -1.84000003      0.959999979    
          88  -1.48000002      0.800000012    
          90  -1.72000003      0.879999995    
          92  -1.91999996      0.980000019    
          94  -1.88000000      0.959999979    
          96  -1.91999996      0.980000019    
          98  -1.60000002      0.879999995    
         100  -1.75999999      0.920000017    
         102  -1.75999999      0.920000017    
         104  -1.63999999      0.860000014    
         106  -1.48000002      0.800000012    
         108  -1.75999999      0.939999998    
         110  -1.75999999      0.939999998    
         112  -1.84000003      0.959999979    
         114  -1.67999995      0.899999976    
         116  -1.63999999      0.879999995    
         118  -1.72000003      0.920000017    
         120  -1.63999999      0.879999995    
         122  -1.67999995      0.920000017    
         124  -1.67999995      0.819999993    
         126  -1.75999999      0.920000017    
         128  -1.79999995      0.939999998    
         130  -2.00000000       1.00000000    
         132  -1.72000003      0.920000017    
         134  -1.51999998      0.800000012    
         136  -1.51999998      0.759999990    
         138  -1.60000002      0.759999990    
         140  -1.84000003      0.939999998    
         142  -1.51999998      0.860000014    
         144  -1.72000003      0.920000017    
         146  -1.84000003      0.959999979    
         148  -1.88000000      0.959999979    
         150  -1.75999999      0.920000017    
         152  -2.00000000       1.00000000    
         154  -1.67999995      0.899999976    
         156  -1.72000003      0.920000017    
         158  -1.67999995      0.899999976    
         160  -1.63999999      0.860000014    
         162  -1.39999998      0.740000010    
         164  -1.39999998      0.779999971    
         166  -1.32000005      0.740000010    
         168  -1.72000003      0.920000017    
         170  -1.67999995      0.920000017    
         172  -1.72000003      0.920000017    
         174  -1.51999998      0.860000014    
         176  -1.63999999      0.839999974    
         178  -1.44000006      0.680000007    
         180  -1.44000006      0.720000029    
         182  -1.67999995      0.740000010    
         184  -1.63999999      0.839999974    
         186  -1.55999994      0.800000012    
         188  -1.27999997      0.600000024    
         190  -1.39999998      0.660000026    
         192  -1.60000002      0.759999990    
         194  -1.75999999      0.920000017    
         196  -1.91999996      0.980000019    
         198  -1.67999995      0.879999995    
         200  -1.75999999      0.939999998    
         202  -1.91999996      0.980000019    
         204  -1.84000003      0.939999998    
         206  -1.60000002      0.899999976    
         208  -1.79999995      0.939999998    
         210  -1.88000000      0.959999979    
         212  -1.72000003      0.899999976    
         214  -1.72000003      0.920000017    
         216  -1.91999996      0.980000019    
         218  -1.91999996      0.980000019    
         220  -1.88000000      0.959999979    
         222  -1.60000002      0.860000014    
         224  -1.51999998      0.819999993    
         226  -1.84000003      0.959999979    
         228  -1.91999996      0.980000019    
         230  -2.00000000       1.00000000    
         232  -1.75999999      0.920000017    
         234  -1.75999999      0.939999998    
         236  -1.75999999      0.939999998    
         238  -1.91999996      0.980000019    
         240  -2.00000000       1.00000000    
         242  -2.00000000       1.00000000    
         244  -1.84000003      0.959999979    
         246  -1.67999995      0.920000017    
         248  -1.75999999      0.939999998    
         250  -1.75999999      0.899999976    
         252  -1.72000003      0.899999976    
         254  -1.55999994      0.879999995    
         256  -1.67999995      0.899999976    
         258  -1.63999999      0.879999995    
         260  -1.75999999      0.920000017    
         262  -1.79999995      0.879999995    
         264  -1.75999999      0.899999976    
         266  -1.55999994      0.879999995    
         268  -1.67999995      0.920000017    
         270  -1.84000003      0.959999979    
         272  -1.63999999      0.839999974    
         274  -1.60000002      0.860000014    
         276  -1.84000003      0.959999979    
         278  -1.75999999      0.939999998    
         280  -1.91999996      0.980000019    
         282  -1.79999995      0.939999998    
         284  -1.91999996      0.980000019    
         286  -1.88000000      0.959999979    
         288  -1.79999995      0.939999998    
         290  -1.75999999      0.939999998    
         292  -1.75999999      0.939999998    
         294  -1.24000001      0.660000026    
         296  -1.39999998      0.699999988    
         298  -1.63999999      0.879999995    
         300  -1.48000002      0.819999993    
         302  -1.55999994      0.860000014    
         304  -2.00000000       1.00000000    
         306  -1.79999995      0.939999998    
         308  -1.75999999      0.920000017    
         310  -1.79999995      0.939999998    
         312  -1.79999995      0.939999998    
         314  -1.75999999      0.920000017    
         316  -1.55999994      0.800000012    
         318  -1.75999999      0.939999998    
         320  -1.63999999      0.899999976    
         322  -1.75999999      0.939999998    
         324  -1.63999999      0.899999976    
         326  -1.91999996      0.980000019    
         328  -1.63999999      0.879999995    
         330  -1.55999994      0.879999995    
         332  -1.88000000      0.959999979    
         334  -1.72000003      0.920000017    
         336  -1.51999998      0.800000012    
         338  -1.72000003      0.860000014    
         340  -1.55999994      0.860000014    
         342  -1.60000002      0.899999976    
         344  -1.72000003      0.920000017    
         346  -1.55999994      0.860000014    
         348  -1.67999995      0.860000014    
         350  -1.75999999      0.879999995    
         352  -1.67999995      0.899999976    
         354  -1.44000006      0.800000012    
         356  -1.67999995      0.879999995    
         358  -1.84000003      0.959999979    
         360  -1.75999999      0.939999998    
         362  -1.88000000      0.959999979    
         364  -1.72000003      0.920000017    
         366  -2.00000000       1.00000000    
         368  -1.75999999      0.939999998    
         370  -1.88000000      0.959999979    
         372  -1.84000003      0.939999998    
         374  -1.84000003      0.959999979    
         376  -1.91999996      0.980000019    
         378  -1.75999999      0.920000017    
         380  -1.75999999      0.939999998    
