 # Cycle    Energy/N    Magnetization/N
           2 -0.879999995      0.119999997    
           4  -1.03999996     -0.180000007    
           6  -1.15999997     -0.419999987    
           8  -1.27999997     -0.280000001    
          10  -1.32000005     -0.519999981    
          12  -1.44000006     -0.500000000    
          14  -1.27999997     -0.219999999    
          16  -1.20000005     -0.300000012    
          18  -1.32000005     -0.180000007    
          20  -1.36000001      -7.99999982E-02
          22  -1.24000001      -5.99999987E-02
          24  -1.36000001     -0.159999996    
          26  -1.32000005       1.99999996E-02
          28  -1.32000005      0.140000001    
          30  -1.27999997       5.99999987E-02
          32  -1.32000005      0.119999997    
          34  -1.36000001      0.100000001    
          36  -1.39999998      0.259999990    
          38  -1.32000005      0.400000006    
          40  -1.20000005      0.460000008    
          42  -1.44000006      0.800000012    
          44  -1.79999995      0.939999998    
          46  -1.91999996      0.980000019    
          48  -2.00000000       1.00000000    
          50  -2.00000000       1.00000000    
          52  -1.84000003      0.959999979    
          54  -1.79999995      0.939999998    
          56  -1.91999996      0.980000019    
          58  -1.88000000      0.959999979    
          60  -1.91999996      0.980000019    
          62  -2.00000000       1.00000000    
          64  -2.00000000       1.00000000    
          66  -1.91999996      0.980000019    
          68  -1.84000003      0.959999979    
          70  -1.91999996      0.980000019    
          72  -1.91999996      0.980000019    
          74  -1.91999996      0.980000019    
          76  -1.84000003      0.959999979    
          78  -1.48000002      0.839999974    
          80  -1.75999999      0.939999998    
          82  -1.75999999      0.899999976    
          84  -1.91999996      0.980000019    
          86  -1.79999995      0.939999998    
          88  -1.72000003      0.920000017    
          90  -1.79999995      0.920000017    
          92  -1.72000003      0.879999995    
          94  -1.84000003      0.939999998    
          96  -1.91999996      0.980000019    
          98  -1.91999996      0.980000019    
         100  -1.75999999      0.939999998    
         102  -1.79999995      0.920000017    
         104  -2.00000000       1.00000000    
         106  -1.91999996      0.980000019    
         108  -1.79999995      0.939999998    
         110  -1.91999996      0.980000019    
         112  -2.00000000       1.00000000    
         114  -1.84000003      0.959999979    
         116  -1.63999999      0.899999976    
         118  -1.75999999      0.939999998    
         120  -1.84000003      0.959999979    
         122  -1.75999999      0.939999998    
         124  -2.00000000       1.00000000    
         126  -1.91999996      0.980000019    
         128  -2.00000000       1.00000000    
         130  -2.00000000       1.00000000    
         132  -1.91999996      0.980000019    
         134  -1.91999996      0.980000019    
         136  -1.60000002      0.860000014    
         138  -1.72000003      0.899999976    
         140  -1.63999999      0.899999976    
         142  -1.79999995      0.939999998    
         144  -1.67999995      0.899999976    
         146  -2.00000000       1.00000000    
         148  -1.84000003      0.959999979    
         150  -1.60000002      0.879999995    
         152  -1.75999999      0.939999998    
         154  -1.79999995      0.939999998    
         156  -1.84000003      0.959999979    
         158  -1.72000003      0.920000017    
         160  -1.79999995      0.920000017    
         162  -2.00000000       1.00000000    
         164  -2.00000000       1.00000000    
         166  -2.00000000       1.00000000    
         168  -1.91999996      0.980000019    
         170  -2.00000000       1.00000000    
         172  -2.00000000       1.00000000    
         174  -1.91999996      0.980000019    
         176  -1.67999995      0.879999995    
         178  -1.60000002      0.740000010    
         180  -1.79999995      0.920000017    
         182  -1.75999999      0.939999998    
         184  -1.88000000      0.959999979    
         186  -1.91999996      0.980000019    
         188  -2.00000000       1.00000000    
         190  -1.75999999      0.920000017    
         192  -2.00000000       1.00000000    
         194  -1.91999996      0.980000019    
         196  -1.84000003      0.920000017    
         198  -2.00000000       1.00000000    
         200  -1.91999996      0.980000019    
         202  -1.91999996      0.980000019    
         204  -2.00000000       1.00000000    
         206  -2.00000000       1.00000000    
         208  -1.67999995      0.860000014    
         210  -1.60000002      0.899999976    
         212  -1.75999999      0.939999998    
         214  -1.84000003      0.939999998    
         216  -1.72000003      0.920000017    
         218  -1.84000003      0.959999979    
         220  -1.91999996      0.980000019    
         222  -2.00000000       1.00000000    
         224  -1.91999996      0.980000019    
         226  -2.00000000       1.00000000    
         228  -1.91999996      0.980000019    
         230  -2.00000000       1.00000000    
         232  -1.75999999      0.939999998    
         234  -1.84000003      0.959999979    
         236  -1.79999995      0.939999998    
         238  -1.75999999      0.920000017    
         240  -1.67999995      0.920000017    
         242  -1.91999996      0.980000019    
         244  -2.00000000       1.00000000    
         246  -1.91999996      0.980000019    
         248  -1.84000003      0.959999979    
         250  -1.79999995      0.939999998    
         252  -1.91999996      0.980000019    
         254  -1.91999996      0.980000019    
         256  -1.91999996      0.980000019    
         258  -2.00000000       1.00000000    
         260  -1.84000003      0.959999979    
         262  -1.84000003      0.959999979    
         264  -2.00000000       1.00000000    
         266  -1.91999996      0.980000019    
         268  -1.91999996      0.980000019    
         270  -1.67999995      0.920000017    
         272  -2.00000000       1.00000000    
