 # Cycle    Energy/N    Magnetization/N
           2 -0.919600010      -9.99999978E-03
           4  -1.12880003       2.60000001E-03
           6  -1.25759995      -6.80000009E-03
           8  -1.31480002       9.20000020E-03
          10  -1.36720002       0.00000000    
          12  -1.44560003       3.20000015E-02
          14  -1.46360004       2.36000009E-02
          16  -1.43519998       3.57999988E-02
          18  -1.46440005       4.34000008E-02
          20  -1.48599994       3.84000018E-02
          22  -1.50039995       1.18000004E-02
          24  -1.51279998       2.11999994E-02
          26  -1.50520003       3.99999991E-02
          28  -1.49119997       4.96000014E-02
          30  -1.50320005       5.97999990E-02
          32  -1.51040006       6.34000003E-02
          34  -1.53199995       5.26000001E-02
          36  -1.53240001       5.51999994E-02
          38  -1.54879999       7.76000023E-02
          40  -1.56439996       7.54000023E-02
          42  -1.58640003       7.76000023E-02
          44  -1.59000003       8.43999982E-02
          46  -1.60839999       7.18000010E-02
          48  -1.61280000       6.96000010E-02
          50  -1.62679994       6.63999990E-02
          52  -1.63880002       6.15999997E-02
          54  -1.64800000       6.01999983E-02
          56  -1.61679995       7.07999989E-02
          58  -1.59920001       6.14000000E-02
          60  -1.61080003       6.92000017E-02
          62  -1.60520005       6.44000024E-02
          64  -1.58679998       7.18000010E-02
          66  -1.59360003       5.29999994E-02
          68  -1.60000002       4.60000001E-02
          70  -1.59560001       3.31999995E-02
          72  -1.59759998       4.85999994E-02
          74  -1.62279999       3.88000011E-02
          76  -1.61240005       4.17999998E-02
          78  -1.60640001       4.58000004E-02
          80  -1.61559999       3.07999998E-02
          82  -1.63399994       3.64000015E-02
          84  -1.62399995       3.57999988E-02
          86  -1.63639998       4.14000005E-02
          88  -1.62320006       2.11999994E-02
          90  -1.63240004       2.33999994E-02
          92  -1.64760005       2.04000007E-02
          94  -1.63600004       2.52000000E-02
          96  -1.65559995       2.18000002E-02
          98  -1.64279997       1.27999997E-02
         100  -1.64320004       1.86000001E-02
         102  -1.64240003       2.08000001E-02
         104  -1.67560005       8.79999995E-03
         106  -1.64279997       1.33999996E-02
         108  -1.66279995       4.00000019E-03
         110  -1.65160000       1.82000007E-02
         112  -1.64960003       1.09999999E-02
         114  -1.64760005       1.86000001E-02
         116  -1.64800000       2.48000007E-02
         118  -1.66520000       3.06000002E-02
         120  -1.65680003       2.99999993E-02
         122  -1.65279996       3.48000005E-02
         124  -1.63800001       3.59999985E-02
         126  -1.63039994       3.20000015E-02
         128  -1.63160002       3.13999988E-02
         130  -1.64240003       2.63999999E-02
         132  -1.64960003       1.74000002E-02
         134  -1.65880001       3.06000002E-02
         136  -1.67200005       2.80000009E-02
         138  -1.65600002       2.21999995E-02
         140  -1.68599999       1.26000000E-02
         142  -1.67519999       1.14000002E-02
         144  -1.66279995       2.40000011E-03
         146  -1.66040003       2.16000006E-02
         148  -1.66639996       3.64000015E-02
         150  -1.67960000       4.21999991E-02
         152  -1.65880001       3.04000005E-02
         154  -1.68439996       2.63999999E-02
         156  -1.68280005       2.70000007E-02
         158  -1.68560004       3.48000005E-02
         160  -1.67680001       2.63999999E-02
         162  -1.67079997       9.20000020E-03
         164  -1.68640006       2.26000007E-02
         166  -1.69400001       2.21999995E-02
         168  -1.68439996       6.80000009E-03
         170  -1.68239999       2.23999992E-02
         172  -1.65760005       2.45999992E-02
         174  -1.68359995       2.45999992E-02
         176  -1.67879999       4.12000008E-02
         178  -1.70599997       4.03999984E-02
         180  -1.67799997       4.98000011E-02
         182  -1.70439994       6.45999983E-02
         184  -1.73080003       6.67999983E-02
         186  -1.71840000       5.07999994E-02
         188  -1.69000006       3.79999988E-02
         190  -1.69679999       2.45999992E-02
         192  -1.66880000       3.13999988E-02
         194  -1.67840004       3.75999995E-02
         196  -1.67359996       3.95999998E-02
         198  -1.69319999       3.73999998E-02
         200  -1.69079995       4.43999991E-02
         202  -1.69799995       4.91999984E-02
         204  -1.68320000       5.73999994E-02
         206  -1.67400002       6.30000010E-02
         208  -1.68200004       6.85999990E-02
         210  -1.66159999       6.37999997E-02
         212  -1.66240001       6.58000037E-02
         214  -1.68599999       5.64000010E-02
         216  -1.69040000       5.93999997E-02
         218  -1.67920005       7.81999975E-02
         220  -1.68840003       9.08000022E-02
         222  -1.67439997       8.46000016E-02
         224  -1.69280005       8.03999975E-02
         226  -1.69560003       8.24000016E-02
         228  -1.66600001       9.04000029E-02
         230  -1.66880000       9.01999995E-02
         232  -1.67680001      0.105200000    
         234  -1.67159998      0.103000000    
         236  -1.66320002       9.67999995E-02
         238  -1.67240000      0.103000000    
         240  -1.69599998       9.38000008E-02
         242  -1.67719996       9.30000022E-02
         244  -1.67760003      0.107000001    
         246  -1.69640005      0.107600003    
         248  -1.67920005      0.112800002    
         250  -1.70560002      0.112999998    
         252  -1.70720005      0.112000003    
         254  -1.66960001      0.105200000    
         256  -1.67879999      0.106799997    
         258  -1.69920003      0.107400000    
         260  -1.69120002      0.117600001    
         262  -1.69360006      0.117200002    
         264  -1.69079995      0.111400001    
         266  -1.69120002      0.128199995    
         268  -1.68400002      0.128800005    
         270  -1.68480003      0.135399997    
         272  -1.68200004      0.130400002    
         274  -1.67799997      0.120600000    
         276  -1.66919994      0.108400002    
         278  -1.69760001      0.119199999    
         280  -1.70720005      0.124799997    
         282  -1.70159996      0.123000003    
         284  -1.68920004      0.119599998    
         286  -1.68760002      0.115400001    
         288  -1.67999995      0.122199997    
         290  -1.69200003      0.125000000    
         292  -1.69400001      0.114399999    
         294  -1.69599998      0.119000003    
         296  -1.69920003      0.122400001    
         298  -1.67799997      0.126399994    
         300  -1.69239998      0.130199999    
         302  -1.68280005      0.113399997    
         304  -1.65919995      0.110200003    
         306  -1.67159998      0.111199997    
         308  -1.68239999      0.112599999    
         310  -1.71679997      0.126200005    
         312  -1.70280004      0.111400001    
         314  -1.69959998      0.103000000    
         316  -1.72720003      0.109399997    
         318  -1.71039999      0.109999999    
         320  -1.71560001      0.103600003    
         322  -1.71599996       9.05999988E-02
         324  -1.69640005       8.86000022E-02
         326  -1.70200002      0.107400000    
         328  -1.70480001      0.114399999    
         330  -1.71000004      0.109999999    
         332  -1.69959998       9.78000015E-02
         334  -1.69040000       8.24000016E-02
         336  -1.69439995       8.91999975E-02
         338  -1.68719995       8.60000029E-02
         340  -1.67120004       8.57999995E-02
         342  -1.68840003       9.09999982E-02
         344  -1.69480002       9.93999988E-02
