 # Cycle    Energy/N    Magnetization/N
           2 -0.479999989      0.200000003    
           4 -0.879999995      0.280000001    
           6  -1.24000001      0.400000006    
           8  -1.08000004      0.159999996    
          10  -1.00000000      -3.99999991E-02
          12  -1.08000004       0.00000000    
          14  -1.03999996      0.219999999    
          16  -1.27999997      0.340000004    
          18  -1.36000001      0.379999995    
          20  -1.44000006      0.680000007    
          22  -1.27999997      0.620000005    
          24  -1.20000005      0.680000007    
          26  -1.12000000      0.620000005    
          28  -1.03999996      0.360000014    
          30  -1.12000000      0.379999995    
          32  -1.12000000      0.340000004    
          34 -0.959999979      0.119999997    
          36  -1.08000004      -5.99999987E-02
          38  -1.08000004       0.00000000    
          40  -1.15999997       5.99999987E-02
          42  -1.20000005      0.280000001    
          44  -1.03999996      -7.99999982E-02
          46  -1.15999997     -0.159999996    
          48  -1.15999997     -0.180000007    
          50  -1.12000000       3.99999991E-02
          52 -0.959999979      0.100000001    
          54 -0.839999974      -1.99999996E-02
          56 -0.800000012       0.00000000    
          58  -1.08000004     -0.360000014    
          60  -1.12000000     -0.400000006    
          62  -1.32000005     -0.460000008    
          64  -1.44000006     -0.439999998    
          66  -1.39999998     -0.540000021    
          68  -1.63999999     -0.839999974    
          70  -1.63999999     -0.879999995    
          72  -1.60000002     -0.839999974    
          74  -1.08000004     -0.579999983    
          76  -1.27999997     -0.639999986    
          78  -1.08000004     -0.579999983    
          80  -1.44000006     -0.579999983    
          82  -1.48000002     -0.779999971    
          84  -1.79999995     -0.920000017    
          86  -1.91999996     -0.980000019    
          88  -1.91999996     -0.980000019    
          90  -1.72000003     -0.920000017    
          92  -1.75999999     -0.920000017    
          94  -1.63999999     -0.899999976    
          96  -1.75999999     -0.920000017    
          98  -1.63999999     -0.860000014    
         100  -1.91999996     -0.980000019    
         102  -2.00000000      -1.00000000    
         104  -1.79999995     -0.939999998    
         106  -1.72000003     -0.899999976    
         108  -1.72000003     -0.920000017    
         110  -1.72000003     -0.920000017    
         112  -2.00000000      -1.00000000    
         114  -1.91999996     -0.980000019    
         116  -1.75999999     -0.920000017    
         118  -2.00000000      -1.00000000    
         120  -2.00000000      -1.00000000    
         122  -1.44000006     -0.819999993    
         124  -1.67999995     -0.920000017    
         126  -1.91999996     -0.980000019    
         128  -2.00000000      -1.00000000    
         130  -1.91999996     -0.980000019    
         132  -1.91999996     -0.980000019    
         134  -1.91999996     -0.980000019    
         136  -1.91999996     -0.980000019    
         138  -2.00000000      -1.00000000    
         140  -1.88000000     -0.959999979    
         142  -1.51999998     -0.800000012    
         144  -1.72000003     -0.920000017    
         146  -1.08000004     -0.680000007    
         148  -1.51999998     -0.860000014    
         150  -1.63999999     -0.879999995    
         152  -1.75999999     -0.939999998    
         154  -1.88000000     -0.959999979    
         156  -1.67999995     -0.899999976    
         158  -1.48000002     -0.819999993    
         160  -1.51999998     -0.839999974    
         162  -1.36000001     -0.680000007    
         164  -1.84000003     -0.959999979    
         166  -1.60000002     -0.860000014    
         168  -1.32000005     -0.740000010    
         170  -1.27999997     -0.720000029    
         172  -1.48000002     -0.800000012    
         174  -1.84000003     -0.959999979    
         176  -1.60000002     -0.860000014    
         178  -2.00000000      -1.00000000    
         180  -1.72000003     -0.920000017    
         182  -1.84000003     -0.959999979    
         184  -1.55999994     -0.839999974    
         186  -1.39999998     -0.720000029    
         188  -1.84000003     -0.939999998    
         190  -1.84000003     -0.959999979    
         192  -1.39999998     -0.800000012    
         194  -1.75999999     -0.920000017    
         196  -1.75999999     -0.939999998    
         198  -1.91999996     -0.980000019    
         200  -1.88000000     -0.959999979    
         202  -1.67999995     -0.899999976    
         204  -1.67999995     -0.920000017    
         206  -2.00000000      -1.00000000    
         208  -1.84000003     -0.959999979    
         210  -1.79999995     -0.899999976    
         212  -1.84000003     -0.959999979    
         214  -1.91999996     -0.980000019    
         216  -2.00000000      -1.00000000    
         218  -2.00000000      -1.00000000    
         220  -1.72000003     -0.920000017    
         222  -1.79999995     -0.939999998    
         224  -1.48000002     -0.740000010    
         226  -1.63999999     -0.879999995    
         228  -1.48000002     -0.800000012    
         230  -1.51999998     -0.819999993    
         232  -1.72000003     -0.920000017    
         234  -1.39999998     -0.819999993    
         236  -1.63999999     -0.879999995    
         238  -1.67999995     -0.920000017    
         240  -1.60000002     -0.899999976    
         242  -1.67999995     -0.899999976    
         244  -1.75999999     -0.939999998    
         246  -1.60000002     -0.860000014    
         248  -1.51999998     -0.800000012    
         250  -1.84000003     -0.959999979    
         252  -1.39999998     -0.779999971    
         254  -1.24000001     -0.720000029    
         256  -1.67999995     -0.879999995    
         258  -1.67999995     -0.899999976    
         260  -1.39999998     -0.819999993    
         262  -1.91999996     -0.980000019    
         264  -1.75999999     -0.899999976    
         266  -1.55999994     -0.819999993    
         268  -2.00000000      -1.00000000    
         270  -1.63999999     -0.879999995    
         272  -1.63999999     -0.899999976    
         274  -1.84000003     -0.959999979    
         276  -1.91999996     -0.980000019    
         278  -1.84000003     -0.959999979    
         280  -1.79999995     -0.939999998    
         282  -1.55999994     -0.860000014    
         284  -2.00000000      -1.00000000    
         286  -1.84000003     -0.959999979    
         288  -1.75999999     -0.939999998    
         290  -1.84000003     -0.959999979    
         292  -1.67999995     -0.920000017    
         294  -1.84000003     -0.959999979    
         296  -1.91999996     -0.980000019    
         298  -2.00000000      -1.00000000    
         300  -1.84000003     -0.959999979    
         302  -1.79999995     -0.939999998    
         304  -1.79999995     -0.939999998    
         306  -2.00000000      -1.00000000    
         308  -1.88000000     -0.959999979    
         310  -1.84000003     -0.959999979    
         312  -2.00000000      -1.00000000    
         314  -2.00000000      -1.00000000    
         316  -1.75999999     -0.939999998    
         318  -1.60000002     -0.839999974    
         320  -1.67999995     -0.920000017    
         322  -1.84000003     -0.959999979    
         324  -1.84000003     -0.959999979    
         326  -1.51999998     -0.839999974    
         328  -1.55999994     -0.860000014    
         330  -1.36000001     -0.819999993    
         332  -1.75999999     -0.920000017    
         334  -1.91999996     -0.980000019    
         336  -1.60000002     -0.860000014    
         338  -1.72000003     -0.899999976    
         340  -1.67999995     -0.860000014    
         342  -1.84000003     -0.959999979    
         344  -1.84000003     -0.959999979    
         346  -1.84000003     -0.959999979    
         348  -1.72000003     -0.920000017    
         350  -1.84000003     -0.959999979    
         352  -1.84000003     -0.959999979    
         354  -1.79999995     -0.939999998    
         356  -1.60000002     -0.839999974    
         358  -1.60000002     -0.839999974    
         360  -1.84000003     -0.959999979    
         362  -1.84000003     -0.959999979    
         364  -1.72000003     -0.819999993    
         366  -1.67999995     -0.899999976    
         368  -1.55999994     -0.879999995    
         370  -1.39999998     -0.800000012    
         372  -1.75999999     -0.939999998    
         374  -1.75999999     -0.939999998    
         376  -1.91999996     -0.980000019    
         378  -1.72000003     -0.920000017    
         380  -1.75999999     -0.939999998    
         382  -1.75999999     -0.920000017    
         384  -1.84000003     -0.959999979    
         386  -1.72000003     -0.920000017    
         388  -2.00000000      -1.00000000    
         390  -1.84000003     -0.939999998    
         392  -1.79999995     -0.939999998    
         394  -1.67999995     -0.920000017    
         396  -1.67999995     -0.920000017    
         398  -1.79999995     -0.939999998    
