 # Cycle    Energy/N    Magnetization/N
           2 -0.848888874       2.88888887E-02
           4  -1.11555552       7.55555555E-02
           6  -1.15111113       2.66666673E-02
           8  -1.29777777      -3.55555564E-02
          10  -1.30222225      -7.55555555E-02
          12  -1.31555557      -2.22222228E-03
          14  -1.31111109       1.11111114E-02
          16  -1.34666669       3.99999991E-02
          18  -1.36888885      -8.88888910E-03
          20  -1.28444445      -4.44444455E-02
          22  -1.23555553      -6.88888878E-02
          24  -1.30666661     -0.135555550    
          26  -1.31555557     -0.188888893    
          28  -1.24000001     -0.131111115    
          30  -1.26666665      -5.33333346E-02
          32  -1.34222221      -4.66666669E-02
          34  -1.38666666      -1.11111114E-02
          36  -1.27555561       5.99999987E-02
          38  -1.35555553       9.33333337E-02
          40  -1.35111105       7.55555555E-02
          42  -1.40444446       8.88888910E-02
          44  -1.41777778      0.171111107    
          46  -1.35111105      0.173333332    
          48  -1.33777773      0.148888886    
          50  -1.38666666      0.162222221    
          52  -1.42666662      0.206666663    
          54  -1.43555558      0.173333332    
          56  -1.33777773      0.157777771    
          58  -1.47111106      0.164444447    
          60  -1.41777778      0.140000001    
          62  -1.43555558      0.146666661    
          64  -1.32000005      0.184444442    
          66  -1.29333329      0.219999999    
          68  -1.37333333      0.180000007    
          70  -1.36444449      0.200000003    
          72  -1.46222222      0.206666663    
          74  -1.41777778      0.188888893    
          76  -1.36888885      0.157777771    
          78  -1.42222226      0.148888886    
          80  -1.44000006      0.131111115    
          82  -1.37777781      0.226666674    
          84  -1.44888890      0.259999990    
          86  -1.40888894      0.251111120    
          88  -1.40444446      0.304444432    
          90  -1.39999998      0.291111112    
          92  -1.46222222      0.237777784    
          94  -1.48888886      0.217777774    
          96  -1.44888890      0.177777782    
          98  -1.50666666      0.137777776    
         100  -1.48888886      0.113333337    
         102  -1.47111106      0.100000001    
         104  -1.48888886      0.106666669    
         106  -1.50222218      0.119999997    
         108  -1.43111110      0.104444444    
         110  -1.45777774       9.11111087E-02
         112  -1.46222222       1.33333337E-02
         114  -1.43111110       3.33333351E-02
         116  -1.45777774       7.99999982E-02
         118  -1.48000002      0.108888887    
         120  -1.50666666      0.159999996    
         122  -1.56444442      0.133333340    
         124  -1.51111114       9.77777764E-02
         126  -1.54222226      0.115555555    
         128  -1.54222226      0.115555555    
         130  -1.51555550       8.88888910E-02
         132  -1.48000002       6.22222237E-02
         134  -1.45777774       7.99999982E-02
         136  -1.42222226       2.66666673E-02
         138  -1.51999998       0.00000000    
         140  -1.39555550       3.33333351E-02
         142  -1.40444446      0.104444444    
         144  -1.39999998      0.117777780    
         146  -1.46666670      0.140000001    
         148  -1.52444446      0.146666661    
         150  -1.53333330      0.135555550    
         152  -1.49333334      0.100000001    
         154  -1.45333338       5.77777773E-02
         156  -1.51111114       6.66666683E-03
         158  -1.38222218      -2.22222228E-03
         160  -1.39111114      -4.88888882E-02
         162  -1.43555558      -3.77777778E-02
         164  -1.43555558      -1.11111114E-02
         166  -1.35111105      -1.99999996E-02
         168  -1.33333337      -2.44444441E-02
         170  -1.49777782      -2.88888887E-02
         172  -1.45333338       4.22222205E-02
         174  -1.48000002       7.11111128E-02
         176  -1.47555554       7.77777806E-02
         178  -1.48000002      0.119999997    
         180  -1.51999998      0.155555561    
         182  -1.40444446      0.153333336    
         184  -1.41333330      0.128888890    
         186  -1.44888890       8.66666660E-02
         188  -1.40444446      0.106666669    
         190  -1.46666670      0.122222222    
         192  -1.45333338      0.186666667    
         194  -1.50666666      0.180000007    
         196  -1.48000002      0.202222228    
         198  -1.51999998      0.264444441    
         200  -1.51111114      0.242222220    
         202  -1.46666670      0.237777784    
         204  -1.51999998      0.233333334    
         206  -1.51555550      0.224444449    
         208  -1.50666666      0.251111120    
         210  -1.42222226      0.242222220    
         212  -1.44444442      0.293333322    
         214  -1.39555550      0.277777791    
         216  -1.39555550      0.271111101    
         218  -1.35111105      0.233333334    
         220  -1.45333338      0.233333334    
         222  -1.44000006      0.344444454    
         224  -1.41777778      0.375555545    
         226  -1.39555550      0.342222214    
         228  -1.46222222      0.282222211    
         230  -1.48444450      0.306666672    
         232  -1.51111114      0.268888891    
         234  -1.50666666      0.253333330    
         236  -1.45777774      0.235555559    
         238  -1.42666662      0.237777784    
         240  -1.42222226      0.219999999    
         242  -1.44000006      0.286666662    
         244  -1.48444450      0.293333322    
         246  -1.52444446      0.242222220    
         248  -1.51555550      0.200000003    
         250  -1.55111110      0.228888884    
         252  -1.41777778      0.208888888    
         254  -1.56444442      0.213333338    
         256  -1.54666662      0.235555559    
         258  -1.52888894      0.300000012    
         260  -1.45777774      0.282222211    
         262  -1.46222222      0.244444445    
         264  -1.44888890      0.219999999    
         266  -1.44444442      0.186666667    
         268  -1.46222222      0.153333336    
         270  -1.47555554      0.235555559    
         272  -1.53777778      0.197777778    
         274  -1.45777774      0.117777780    
         276  -1.44888890      0.131111115    
         278  -1.50666666      0.133333340    
         280  -1.42666662      0.155555561    
         282  -1.54222226      0.186666667    
         284  -1.55111110      0.191111118    
         286  -1.48000002      0.182222217    
         288  -1.51555550      0.164444447    
         290  -1.52444446      0.200000003    
         292  -1.48444450      0.184444442    
         294  -1.46666670      0.228888884    
         296  -1.44444442      0.188888893    
         298  -1.35111105      0.144444451    
         300  -1.33333337       7.77777806E-02
         302  -1.38222218      0.113333337    
         304  -1.43555558       8.66666660E-02
         306  -1.41333330       8.44444409E-02
         308  -1.48000002      0.113333337    
         310  -1.42222226       7.33333305E-02
         312  -1.42222226       4.44444455E-02
         314  -1.44888890       2.22222228E-02
         316  -1.42666662       6.66666701E-02
         318  -1.44000006       7.55555555E-02
         320  -1.48444450       5.55555560E-02
         322  -1.45777774       7.33333305E-02
         324  -1.39111114      0.155555561    
         326  -1.48000002      0.197777778    
         328  -1.47111106      0.191111118    
         330  -1.37777781      0.168888882    
         332  -1.44444442      0.117777780    
         334  -1.46222222       4.44444455E-02
         336  -1.40444446      0.108888887    
         338  -1.33777773      0.131111115    
         340  -1.47111106       9.11111087E-02
         342  -1.47111106       8.22222233E-02
         344  -1.47111106      0.108888887    
         346  -1.51111114      0.124444447    
         348  -1.54222226       7.55555555E-02
         350  -1.51555550      0.113333337    
         352  -1.53777778      0.124444447    
         354  -1.41333330      0.115555555    
         356  -1.39999998       7.33333305E-02
         358  -1.34666669      0.102222219    
         360  -1.38222218       8.44444409E-02
         362  -1.47111106      0.137777776    
         364  -1.35111105      0.119999997    
         366  -1.41777778      0.157777771    
         368  -1.44888890      0.104444444    
         370  -1.37333333      0.119999997    
         372  -1.46222222      0.184444442    
         374  -1.36444449      0.195555553    
         376  -1.38666666      0.168888882    
         378  -1.40444446      0.195555553    
         380  -1.38666666      0.204444438    
         382  -1.41333330      0.128888890    
         384  -1.44444442       8.22222233E-02
         386  -1.49333334      0.119999997    
         388  -1.42666662       9.33333337E-02
         390  -1.42666662      0.115555555    
         392  -1.43111110       5.99999987E-02
         394  -1.49777782       6.88888878E-02
         396  -1.42222226       4.44444455E-03
         398  -1.35111105       0.00000000    
         400  -1.39999998       6.22222237E-02
         402  -1.36888885       8.88888910E-02
         404  -1.35111105       4.88888882E-02
         406  -1.41333330       8.22222233E-02
         408  -1.43555558      0.128888890    
         410  -1.49777782      0.153333336    
         412  -1.48000002      0.119999997    
         414  -1.49777782       9.77777764E-02
         416  -1.39999998      0.153333336    
         418  -1.44000006      0.106666669    
         420  -1.40444446       6.66666701E-02
         422  -1.49777782       9.11111087E-02
         424  -1.44888890      0.115555555    
         426  -1.50666666       8.66666660E-02
         428  -1.49777782       6.22222237E-02
         430  -1.37333333       1.55555559E-02
         432  -1.45777774       4.22222205E-02
         434  -1.39111114       5.11111096E-02
         436  -1.41333330       5.55555560E-02
         438  -1.46222222       5.77777773E-02
         440  -1.44888890       8.44444409E-02
         442  -1.50666666      0.137777776    
         444  -1.50222218      0.171111107    
         446  -1.48444450      0.173333332    
         448  -1.54666662      0.182222217    
         450  -1.48444450      0.184444442    
         452  -1.46666670      0.173333332    
         454  -1.51111114      0.155555561    
         456  -1.48888886      0.188888893    
         458  -1.44888890      0.180000007    
         460  -1.50666666      0.202222228    
         462  -1.51555550      0.204444438    
         464  -1.56444442      0.208888888    
         466  -1.56444442      0.244444445    
         468  -1.49333334      0.237777784    
         470  -1.48444450      0.293333322    
         472  -1.48000002      0.300000012    
         474  -1.48888886      0.331111103    
         476  -1.47555554      0.319999993    
         478  -1.40888894      0.308888882    
         480  -1.44000006      0.315555543    
         482  -1.47555554      0.391111106    
         484  -1.41777778      0.393333346    
         486  -1.48444450      0.413333327    
         488  -1.52888894      0.417777777    
         490  -1.45777774      0.437777787    
         492  -1.36444449      0.360000014    
         494  -1.44888890      0.368888885    
         496  -1.42222226      0.344444454    
         498  -1.38666666      0.331111103    
         500  -1.40444446      0.337777764    
         502  -1.44000006      0.388888896    
         504  -1.44888890      0.337777764    
         506  -1.44444442      0.335555553    
         508  -1.36000001      0.295555562    
         510  -1.38222218      0.368888885    
         512  -1.39555550      0.373333335    
         514  -1.33777773      0.360000014    
         516  -1.42222226      0.404444456    
         518  -1.43111110      0.357777774    
         520  -1.39555550      0.342222214    
         522  -1.28888893      0.328888893    
         524  -1.33777773      0.364444435    
         526  -1.31111109      0.404444456    
         528  -1.31555557      0.426666677    
         530  -1.23555553      0.424444437    
         532  -1.24444449      0.360000014    
         534  -1.36888885      0.373333335    
         536  -1.34222221      0.324444443    
         538  -1.27999997      0.282222211    
         540  -1.34666669      0.197777778    
         542  -1.38666666      0.162222221    
         544  -1.35555553      0.186666667    
         546  -1.46666670      0.277777791    
         548  -1.47555554      0.257777780    
         550  -1.42666662      0.306666672    
         552  -1.44444442      0.344444454    
         554  -1.44888890      0.364444435    
         556  -1.46222222      0.337777764    
         558  -1.40888894      0.377777785    
         560  -1.41333330      0.344444454    
         562  -1.43111110      0.457777768    
         564  -1.46222222      0.442222208    
         566  -1.47111106      0.504444420    
         568  -1.42666662      0.540000021    
         570  -1.42666662      0.482222229    
         572  -1.45777774      0.515555561    
         574  -1.47111106      0.479999989    
         576  -1.48444450      0.468888879    
         578  -1.49777782      0.537777781    
         580  -1.46222222      0.591111124    
         582  -1.47111106      0.571111083    
         584  -1.48444450      0.586666644    
         586  -1.55555558      0.613333344    
         588  -1.54222226      0.642222226    
         590  -1.60000002      0.648888886    
         592  -1.53777778      0.682222247    
         594  -1.44888890      0.704444468    
         596  -1.54222226      0.768888891    
         598  -1.51555550      0.740000010    
         600  -1.50222218      0.779999971    
         602  -1.48888886      0.755555570    
         604  -1.48888886      0.722222209    
         606  -1.47555554      0.724444449    
         608  -1.61777782      0.797777772    
         610  -1.61777782      0.804444432    
         612  -1.60444450      0.833333313    
         614  -1.63999999      0.857777774    
         616  -1.59111106      0.835555553    
         618  -1.60444450      0.851111114    
         620  -1.71111107      0.886666656    
         622  -1.69777775      0.877777755    
         624  -1.70666671      0.879999995    
         626  -1.70666671      0.886666656    
         628  -1.71555555      0.904444456    
         630  -1.63555551      0.857777774    
         632  -1.74222219      0.893333316    
         634  -1.72000003      0.906666696    
         636  -1.71555555      0.906666696    
         638  -1.75111115      0.920000017    
         640  -1.62666667      0.868888915    
         642  -1.76444447      0.906666696    
         644  -1.67555559      0.895555556    
         646  -1.62222219      0.879999995    
         648  -1.64444447      0.886666656    
         650  -1.76888883      0.928888917    
         652  -1.66666663      0.895555556    
         654  -1.68444443      0.897777796    
         656  -1.69333339      0.886666656    
         658  -1.66222227      0.871111095    
         660  -1.72444439      0.904444456    
         662  -1.72444439      0.924444437    
         664  -1.79111111      0.939999998    
         666  -1.73777783      0.917777777    
         668  -1.72444439      0.913333356    
         670  -1.67999995      0.884444416    
         672  -1.65333331      0.877777755    
         674  -1.71111107      0.904444456    
         676  -1.79111111      0.935555577    
         678  -1.69333339      0.891111135    
         680  -1.66222227      0.882222235    
         682  -1.71555555      0.895555556    
         684  -1.73777783      0.911111116    
         686  -1.73333335      0.911111116    
         688  -1.61777782      0.864444435    
         690  -1.66666663      0.897777796    
         692  -1.66666663      0.899999976    
         694  -1.68444443      0.899999976    
         696  -1.74222219      0.920000017    
         698  -1.81333339      0.948888898    
         700  -1.78666663      0.933333337    
         702  -1.77333331      0.926666677    
         704  -1.76444447      0.913333356    
         706  -1.72000003      0.888888896    
         708  -1.69333339      0.899999976    
         710  -1.70666671      0.871111095    
         712  -1.70222223      0.868888915    
         714  -1.64444447      0.862222195    
         716  -1.68888891      0.891111135    
         718  -1.68888891      0.877777755    
         720  -1.58666670      0.835555553    
         722  -1.64444447      0.873333335    
         724  -1.74666667      0.911111116    
         726  -1.72000003      0.893333316    
         728  -1.79999995      0.935555577    
         730  -1.77333331      0.924444437    
         732  -1.79111111      0.935555577    
         734  -1.73333335      0.924444437    
