 # Cycle    Energy/N    Magnetization/N
           2  -1.00000000     -0.119999997    
           4  -1.15999997     -0.360000014    
           6  -1.12000000     -0.439999998    
           8  -1.51999998     -0.639999986    
          10  -1.12000000     -0.479999989    
          12  -1.08000004     -0.340000004    
          14  -1.44000006     -0.699999988    
          16  -1.72000003     -0.920000017    
          18  -1.75999999     -0.939999998    
          20  -1.75999999     -0.939999998    
          22  -1.75999999     -0.920000017    
          24  -1.67999995     -0.899999976    
          26  -1.91999996     -0.980000019    
          28  -1.84000003     -0.959999979    
          30  -1.51999998     -0.860000014    
          32  -1.63999999     -0.879999995    
          34  -1.79999995     -0.939999998    
          36  -1.91999996     -0.980000019    
          38  -1.72000003     -0.899999976    
          40  -1.63999999     -0.899999976    
          42  -1.79999995     -0.939999998    
          44  -1.67999995     -0.899999976    
          46  -1.72000003     -0.879999995    
          48  -1.44000006     -0.680000007    
          50  -1.44000006     -0.579999983    
          52  -1.32000005     -0.439999998    
          54  -1.44000006     -0.680000007    
          56  -1.32000005     -0.620000005    
          58  -1.39999998     -0.639999986    
          60  -1.32000005     -0.460000008    
          62  -1.44000006     -0.639999986    
          64  -1.51999998     -0.639999986    
          66  -1.27999997     -0.300000012    
          68  -1.24000001     -0.419999987    
          70  -1.32000005     -0.540000021    
          72  -1.48000002     -0.819999993    
          74  -1.79999995     -0.899999976    
          76  -1.60000002     -0.879999995    
          78  -1.63999999     -0.899999976    
          80  -1.84000003     -0.959999979    
          82  -1.84000003     -0.959999979    
          84  -1.75999999     -0.920000017    
          86  -1.84000003     -0.959999979    
          88  -1.36000001     -0.800000012    
          90  -1.51999998     -0.879999995    
          92  -1.51999998     -0.800000012    
          94  -1.91999996     -0.980000019    
          96  -1.84000003     -0.959999979    
          98  -1.55999994     -0.860000014    
         100  -1.79999995     -0.939999998    
         102  -1.72000003     -0.920000017    
         104  -1.51999998     -0.860000014    
         106  -1.63999999     -0.899999976    
         108  -1.60000002     -0.860000014    
         110  -1.72000003     -0.920000017    
         112  -1.91999996     -0.980000019    
         114  -1.91999996     -0.980000019    
         116  -1.91999996     -0.980000019    
         118  -1.60000002     -0.879999995    
         120  -1.48000002     -0.819999993    
         122  -1.55999994     -0.879999995    
         124  -1.75999999     -0.920000017    
         126  -1.75999999     -0.939999998    
         128  -1.51999998     -0.860000014    
         130  -1.79999995     -0.939999998    
         132  -1.75999999     -0.939999998    
         134  -1.48000002     -0.860000014    
         136  -1.84000003     -0.959999979    
         138  -1.75999999     -0.939999998    
         140  -1.48000002     -0.839999974    
         142  -1.55999994     -0.860000014    
         144  -1.72000003     -0.920000017    
