 # Cycle    Energy/N    Magnetization/N
           2  -1.27999997      0.500000000    
           4  -1.63999999      0.839999974    
           6  -2.00000000       1.00000000    
           8  -2.00000000       1.00000000    
          10  -2.00000000       1.00000000    
          12  -2.00000000       1.00000000    
          14  -2.00000000       1.00000000    
          16  -2.00000000       1.00000000    
          18  -2.00000000       1.00000000    
          20  -2.00000000       1.00000000    
          22  -2.00000000       1.00000000    
          24  -2.00000000       1.00000000    
          26  -2.00000000       1.00000000    
          28  -2.00000000       1.00000000    
          30  -2.00000000       1.00000000    
          32  -2.00000000       1.00000000    
          34  -2.00000000       1.00000000    
          36  -2.00000000       1.00000000    
          38  -2.00000000       1.00000000    
          40  -2.00000000       1.00000000    
          42  -2.00000000       1.00000000    
          44  -2.00000000       1.00000000    
          46  -2.00000000       1.00000000    
          48  -2.00000000       1.00000000    
          50  -2.00000000       1.00000000    
          52  -2.00000000       1.00000000    
          54  -2.00000000       1.00000000    
          56  -2.00000000       1.00000000    
          58  -2.00000000       1.00000000    
          60  -2.00000000       1.00000000    
          62  -2.00000000       1.00000000    
          64  -2.00000000       1.00000000    
          66  -2.00000000       1.00000000    
          68  -2.00000000       1.00000000    
          70  -2.00000000       1.00000000    
          72  -2.00000000       1.00000000    
          74  -2.00000000       1.00000000    
          76  -2.00000000       1.00000000    
          78  -2.00000000       1.00000000    
          80  -2.00000000       1.00000000    
          82  -2.00000000       1.00000000    
          84  -2.00000000       1.00000000    
          86  -2.00000000       1.00000000    
          88  -2.00000000       1.00000000    
          90  -2.00000000       1.00000000    
          92  -2.00000000       1.00000000    
          94  -2.00000000       1.00000000    
          96  -2.00000000       1.00000000    
          98  -2.00000000       1.00000000    
         100  -2.00000000       1.00000000    
         102  -2.00000000       1.00000000    
         104  -2.00000000       1.00000000    
         106  -2.00000000       1.00000000    
         108  -2.00000000       1.00000000    
         110  -2.00000000       1.00000000    
         112  -2.00000000       1.00000000    
         114  -2.00000000       1.00000000    
         116  -2.00000000       1.00000000    
         118  -2.00000000       1.00000000    
         120  -2.00000000       1.00000000    
         122  -2.00000000       1.00000000    
         124  -2.00000000       1.00000000    
         126  -2.00000000       1.00000000    
         128  -2.00000000       1.00000000    
         130  -2.00000000       1.00000000    
         132  -2.00000000       1.00000000    
         134  -2.00000000       1.00000000    
         136  -2.00000000       1.00000000    
         138  -2.00000000       1.00000000    
         140  -2.00000000       1.00000000    
         142  -2.00000000       1.00000000    
         144  -2.00000000       1.00000000    
         146  -2.00000000       1.00000000    
         148  -2.00000000       1.00000000    
         150  -2.00000000       1.00000000    
         152  -2.00000000       1.00000000    
         154  -2.00000000       1.00000000    
         156  -2.00000000       1.00000000    
         158  -2.00000000       1.00000000    
         160  -2.00000000       1.00000000    
         162  -2.00000000       1.00000000    
         164  -2.00000000       1.00000000    
         166  -2.00000000       1.00000000    
         168  -2.00000000       1.00000000    
         170  -2.00000000       1.00000000    
         172  -2.00000000       1.00000000    
         174  -2.00000000       1.00000000    
         176  -2.00000000       1.00000000    
         178  -2.00000000       1.00000000    
         180  -2.00000000       1.00000000    
         182  -2.00000000       1.00000000    
         184  -2.00000000       1.00000000    
         186  -2.00000000       1.00000000    
         188  -2.00000000       1.00000000    
         190  -2.00000000       1.00000000    
         192  -2.00000000       1.00000000    
         194  -2.00000000       1.00000000    
         196  -2.00000000       1.00000000    
         198  -2.00000000       1.00000000    
         200  -2.00000000       1.00000000    
         202  -2.00000000       1.00000000    
         204  -2.00000000       1.00000000    
         206  -2.00000000       1.00000000    
         208  -2.00000000       1.00000000    
         210  -2.00000000       1.00000000    
         212  -2.00000000       1.00000000    
         214  -2.00000000       1.00000000    
         216  -2.00000000       1.00000000    
         218  -2.00000000       1.00000000    
         220  -2.00000000       1.00000000    
         222  -2.00000000       1.00000000    
         224  -2.00000000       1.00000000    
         226  -2.00000000       1.00000000    
         228  -2.00000000       1.00000000    
         230  -2.00000000       1.00000000    
         232  -2.00000000       1.00000000    
         234  -2.00000000       1.00000000    
         236  -2.00000000       1.00000000    
         238  -2.00000000       1.00000000    
         240  -2.00000000       1.00000000    
         242  -2.00000000       1.00000000    
         244  -2.00000000       1.00000000    
